,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year
,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
품종별,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
기타새우류,3030,1678,2858,3539,3295,3766,13713,7989,11372,9740,11890,8385,12737,14015,15007,19248,20480,21524,26512,23599,23731,20819,21912,25734,17904,12298,11560,13974,19365,11778,10488,8077,7206,7875,7383,8269,12353,12541,8339,5936,8099,5735,5961,5628,7845,7537,6335,7838,11784,9411,9443,9226,4987,4603
기타갑각류,306,1259,3896,2040,3484,1634,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1431,1645,1136,4257,936,2721,763,980,1022,1321,941,1031,1103,1171,969,1099,1243,1407,885,705,917,1189,712,574,672,971
골뱅이,-,-,-,-,2028,1290,2129,6561,3692,2072,3774,4516,5326,6118,7755,6988,7337,8284,8444,8195,6382,7141,5849,8352,8131,5224,2975,1617,1325,1672,818,730,1555,2600,2101,1696,1434,1639,1133,1288,-,-,-,-,-,-,-,-,-,-,-,-,-,-
굴류,5618,7851,8394,14793,8940,9122,10066,10138,14959,13527,13981,7128,7855,14518,8574,11668,13769,15145,14247,13306,16079,16518,17526,28215,20710,18262,18259,17210,9905,11690,15939,10056,7950,20201,25690,27320,31016,29316,29185,24254,22686,24985,18424,12751,19794,21484,14076,14539,37176,31092,25805,24006,22994,21070
소라고둥,2587,3903,5046,9319,3240,3213,5221,5165,4960,4382,3985,4497,7052,5787,5293,6161,4131,3357,3097,3555,2673,4009,6141,8764,9128,8834,7361,6878,9192,7283,7281,6274,7193,14065,9507,8498,7496,6909,3055,2534,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소라,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3018,2877,2950,2698,2322,2680,2115,2903,2444,2298,2376,2672,2426,3103
고둥류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5592,5799,7242,6913,6776,6193,7342,6949,7143,7372,8162,10190,9530,8954,9063,10757
오분자기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182,201,159,161,203,87,43,37,38,26,21,19,66,54,62,102,34,27,3,5,5,10,4,5,5,1,4,4,3,3,3
전복류,373,553,959,2346,517,568,615,582,419,458,540,558,453,333,268,360,447,315,278,336,312,354,305,278,177,199,188,214,71,79,76,66,49,73,82,136,116,197,70,192,208,162,168,119,175,145,91,107,112,114,103,99,89,81
가리비류,-,-,-,-,416,44,489,41,37,80,8,10,8,49,35,586,293,273,76,75,6,4,0,51,8,15,20,196,42,6,0,11,0,32,18,13,23,278,15,50,132,51,151,44,55,24,26,49,135,205,131,119,72,18
가무락,-,-,-,-,158,497,271,309,159,298,518,321,567,602,635,1409,960,1049,713,669,509,784,774,580,1293,1484,1200,2028,580,1331,2273,1964,2162,1023,950,826,662,674,1037,864,2315,1387,655,310,376,645,756,380,805,284,128,385,345,228
개량조개류,-,-,-,-,8461,16525,23802,18420,26207,11965,16307,8447,16691,12453,8888,12091,8922,10595,3500,5291,3353,2184,3416,8137,11383,9038,6053,7179,2877,7620,4149,3409,3464,5694,3363,128,612,606,146,331,248,544,402,218,143,175,329,59,16,46,70,116,4,309
꼬막,3898,4842,4519,5178,3455,2634,1241,928,765,778,801,430,403,286,123,350,552,311,208,780,622,322,428,3269,1245,1415,995,493,12114,6503,4184,923,790,5267,2571,1827,4366,481,1320,3865,3959,1581,1945,1070,893,1152,127,30,12,42,18,55,34,10
새꼬막,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362,313,528,2126,707,789,1219,1256
동죽,-,-,-,-,-,-,2765,2188,4429,8385,9074,7824,14503,15012,14166,20930,23431,19465,19141,12115,27234,11419,10861,9047,10516,9225,10944,8851,2411,4325,2468,5774,6730,21240,13433,5201,7597,2601,1444,698,1393,1444,531,1968,1567,1571,999,1877,1227,737,2062,3991,2488,3372
맛류,-,-,-,-,617,855,577,3054,966,458,898,1595,1316,778,1043,1095,2167,2036,1598,2367,2480,2961,2556,7610,6737,4905,3833,4081,2862,1751,1572,1452,702,6311,5456,2240,854,1457,1344,807,698,372,264,208,153,732,229,144,736,1284,939,892,639,109
바지락,4966,6752,6007,6602,9008,22870,16823,14283,11881,8221,13606,15596,17890,17028,12830,20105,29504,25622,20864,18870,12868,12595,13016,31202,14595,15041,12392,16854,14585,13963,20982,20004,14758,13148,12902,14447,7559,8640,20761,22488,12818,12230,12405,13565,12490,15241,13517,17261,31611,23773,27701,22018,14996,29166
백합류,2462,3184,1798,810,515,1110,674,646,1435,1321,1419,2380,1536,627,1646,1280,1716,1236,1792,628,935,4047,2382,1407,1561,2715,2315,2075,3472,1799,1430,1044,1704,6918,6860,3135,4490,2662,1415,1396,1146,793,572,132,300,424,288,462,28,18,33,84,250,219
새조개,-,-,-,-,392,2253,651,1109,659,4686,3445,6041,8687,1434,2982,3148,4779,5521,8270,8626,3021,4960,3398,11226,6551,428,2583,1587,1078,112,411,2002,810,1288,2846,945,272,1817,364,3504,949,251,426,471,1910,80,293,950,150,49,439,447,1255,1073
코끼리조개,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,176,-,73,73,103,43,46,15,15,32,0,0,4,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
키조개,363,1984,2231,1441,2283,577,1040,2069,620,181,349,12001,10332,4142,3867,3605,2546,2790,8268,6064,15299,7898,5523,3321,2516,3634,834,4098,6456,6771,5795,3828,3500,2443,2471,3453,5409,7897,5487,7368,10224,7521,6557,5060,4701,4510,8170,5355,5854,7296,4970,6130,5112,5767
피조개,476,1878,1418,3336,2628,2569,2459,2100,1284,1460,804,2285,398,908,2139,2315,1958,1462,500,6625,1015,810,911,553,601,473,782,667,1311,534,318,153,228,509,257,230,148,152,1228,5638,5720,3692,560,377,110,51,570,399,827,154,250,331,1053,181
홍합류,3891,6266,9543,8392,8983,12421,15096,13555,10710,9337,8704,4442,5074,5518,6326,6169,5898,3749,3395,6256,5747,6498,6303,2271,2731,2942,2191,3211,1469,1414,1133,1085,946,817,588,724,1184,1620,2448,3399,3271,2226,1735,1967,1766,1566,1164,1393,1009,803,633,393,409,389
개조개,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2680,5380,6534,3399,3422,2672,1918,1950,2314,2037,2199,2329,1828,1741,1378,1727,1578,1289,1116,943,1040
우렁이류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
기타패류,-,-,14260,41868,6702,3182,4960,6957,6500,7139,4891,3975,4143,4763,6224,9475,10361,9992,8660,7305,7923,6225,6715,7265,8515,8270,9374,14346,9652,7333,8134,6472,4723,5533,5671,3561,3743,3284,2364,3734,2376,2884,1493,1280,1091,1293,675,795,1281,518,1879,3158,1349,1722
갑오징어류,3077,4763,3976,5165,6504,10932,16429,14780,30024,55654,38922,38153,31874,59487,55440,49545,36210,25568,21867,16528,12395,8149,5207,5437,2964,2567,1484,2082,2563,6652,1267,1443,1920,872,905,1325,1988,1938,3034,3396,4105,2461,3136,4025,3333,5329,4453,4870,6039,8762,5183,6693,7263,4892
꼴뚜기류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2124,2923,2931,2396,2391,2802,2758,2542,2285,1222,1380,1455,4119,1629,885,898,836,758,793,1304,1354,1657,2378,2260,2203,2495,2231,1494,1479,1166,1137,1017,1209,1072,1326,1344,1150,922
낙지류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7147,10439,10979,12354,9264,11968,11546,14351,12446,10803,11611,10103,6395,5966,5861,5911,5297,7248,7023,7658,7397,8625,7879,7013,6954,6445,5799,5061,5274,6690,6399,6067,5725,5918,6071,6472,5383,5677
문어류,503,907,1133,1389,1509,4441,4109,4165,3143,3757,4571,5323,5315,6085,5763,5935,4600,4844,4554,6472,5962,5332,5990,7584,7899,7027,6064,8236,12038,8179,8718,9668,12408,5121,5953,7637,7894,12033,11838,15386,10813,10421,10080,9109,9823,8753,9408,10082,9744,9808,8988,9239,7748,8283
주꾸미,2410,1878,2801,6102,4337,4513,4688,2720,3063,3330,3761,2395,3487,5309,3321,5214,3604,2241,3366,3743,4422,3882,3976,4927,4138,3870,3709,4613,7999,5117,4569,4294,3911,5200,5048,4390,4032,6828,4052,4285,2977,2596,3415,2340,2486,2232,2278,3460,3773,3828,4306,3338,2957,2204
살오징어(오징어),72142,38262,52749,44152,31354,37238,45227,18119,18440,26132,48490,46715,53925,37286,39610,42879,37214,60930,49525,65885,74172,107607,136928,219467,189572,200897,252618,224959,163016,249991,226309,225616,226656,233254,212760,189126,197084,174479,186160,189160,159130,171643,181408,154555,163896,155743,121691,87024,46274,51817,56989,60880,36578,23343
한치류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,864,1564,1416,1064,1133,1749,1245,1916,1849,2863,2316,1362,1909,2655,1492,2689
기타연체동물류,11069,11995,-,753,6065,6465,7940,10763,12387,15429,15016,11415,13797,7452,8053,8309,5549,461,573,477,630,966,877,926,1386,633,549,837,1959,564,438,501,383,171,106,77,43,51,68,148,179,290,207,91,110,194,564,140,539,443,290,372,398,159
미더덕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2829,4640,2965,1792,1961,2207,1796,59,8,25,13,35,56,29,3,49,59,994,211,62,8,1,0,5,1,17,6,7,0,39,1,3,1,1,0,1,1,2
성게류,3364,2041,1904,2659,3393,2321,3497,4119,2969,2719,3383,5212,5565,5260,4933,6222,7751,5278,4291,3633,4325,3749,2476,3944,3714,3707,2802,2771,1410,1182,1461,1454,1459,1607,1301,2035,2596,2651,3555,2846,2868,2467,2351,3091,2700,2963,2172,1895,2555,2477,1576,1911,3294,1757
우렁쉥이,-,-,-,-,1562,4656,5066,3872,2702,2307,2369,2485,1146,1727,1999,3451,949,1335,118,299,222,222,278,241,3198,2067,3641,2780,891,1142,1440,1004,966,836,1115,1485,1105,1127,1482,1107,1076,1730,1448,1573,1670,1507,1281,1139,936,953,903,926,977,1105
해삼,1331,1682,1877,1446,1796,1321,2588,2788,2509,3325,3139,3534,3678,3966,3438,3098,3367,2922,2758,2508,2491,2025,1581,1750,2117,1891,1979,2217,1439,1204,1419,900,833,1281,1154,1135,1614,2936,2256,2789,2687,2259,1935,2112,2075,2211,2108,2013,2102,2362,1610,1656,1704,1573
오만둥이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,10,160,117,8,20,2,3,0,1,0,5,5,5,14,4
기타수산동물류,11075,8187,6777,6903,4921,1901,1862,3587,6408,6622,7002,6828,7432,3300,5887,1448,1154,835,769,669,609,756,752,1333,1144,1016,873,949,986,1001,1882,1302,1936,1622,1741,561,749,803,436,334,147,141,77,210,4443,582,778,1045,325,189,1685,1435,1103,571
김류,1171,1213,3155,2574,1685,758,1066,554,231,143,237,344,173,79,132,603,378,15,1248,775,3533,1128,69,42,77,62,189,90,635,418,1,11,29,122,3,13,2,24,1,23,8,43,35,28,32,64,36,44,166,73,214,366,10,4
꼬시래기류,-,-,-,-,48,23,23,-,13,11,9,20,10,11,4,2,1,-,4,4,0,6,6,43,28,42,54,24,1,13,0,1,0,-,0,7,11,69,11,113,9,0,6,13,16,37,10,68,29,15,16,4,3,1
개꼬시래기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,-,-,-
다시마류,780,1468,1037,248,456,1246,587,1423,613,493,2411,375,761,440,34,996,169,3761,1649,31,7,144,-,511,164,979,1795,761,500,577,350,357,88,37,-,9,12,28,2,354,180,90,39,4,12,10,11,20,85,0,0,0,15,10
도박류,-,-,-,977,1998,3224,4236,389,1382,455,518,419,1162,1018,1305,648,813,267,364,607,756,169,399,761,1190,-,120,70,15,24,15,13,2,7,48,128,473,446,1170,670,118,220,153,235,90,302,517,90,1,5,9,11,29,-
모자반(말)류,2204,4579,2362,4147,5183,4226,4872,4923,4874,5448,5556,3496,2371,621,387,378,181,137,324,185,201,131,108,94,388,145,68,102,19,24,29,22,-,-,-,2,1,13,260,381,256,289,104,16,37,93,60,12,-,139,58,36,-,7
모자반(몰),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,4,4,0,1,10,32,65
미역류,38420,29721,28123,33421,31029,20302,25118,34642,13740,10028,10244,19313,6191,5835,6236,6380,8227,7174,6711,4812,5075,4243,3459,5271,5388,3868,6642,4490,784,600,1717,2664,1089,942,719,4740,3569,6384,3114,3882,4783,2742,2184,2787,3517,3963,2426,2120,6305,4952,5119,6374,5837,2723
우뭇가사리,3154,3143,2651,2541,3925,5279,9440,6591,5654,7671,7941,7178,7366,7354,6155,4115,5080,9620,8844,8284,8339,5399,6742,4476,7581,7798,3551,6182,3136,2307,2872,3768,2150,467,1791,3079,3012,2859,1093,822,3715,5011,3532,2724,3180,735,2831,2781,1107,654,485,413,238,279
기타가사리,-,-,-,131,907,1463,672,1116,1668,1116,682,207,380,1691,691,1176,266,599,351,404,325,237,394,159,213,283,57,85,116,142,66,35,117,62,11,84,328,289,63,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-
청각,-,-,-,-,-,-,363,490,404,903,1227,1017,1792,1161,771,470,526,656,1106,829,565,1555,1215,455,514,530,381,92,280,391,220,404,558,27,616,3083,2875,3950,1400,553,451,396,593,132,304,266,224,171,48,249,94,46,62,86
톳,8622,10607,9961,12216,14250,15877,15306,12261,15575,12932,15853,13743,19849,15335,19243,15449,11630,21580,12981,10162,7222,6614,4327,6458,5814,6179,8086,7783,3856,7423,6062,7024,5081,2744,5284,3520,2933,2672,2721,2590,2366,4797,2242,1617,1443,947,1455,2068,3374,626,442,443,266,158
파래류,-,-,-,210,1660,1844,2400,1622,1703,1371,1518,2132,2159,2532,1412,1524,1654,2949,3304,2418,1425,510,578,597,527,497,373,490,61,183,64,40,412,182,71,246,164,167,295,297,368,305,592,373,875,913,1029,675,196,287,303,912,170,294
매생이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,29,4,2,0,0,2,-,-,3,23,0,1,-,5
곰피,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,2
기타해조류,17992,17633,27633,24205,29825,30646,31758,33230,31777,20931,12998,12860,3782,7717,11168,14372,3944,11798,4568,3107,2876,3108,6941,3319,5015,1985,1594,3064,3191,793,1627,594,901,564,517,301,374,1288,3736,1119,760,890,641,637,86,494,237,118,678,1500,824,161,80,282
해면양식업,119211,147221,160378,260401,340169,351396,410670,491137,390997,480414,540564,701065,596316,643798,678321,787571,946965,866063,886605,848246,772731,775419,935478,1038119,1072126,996451,874810,1015134,777230,765252,653373,655827,781519,826245,917715,1041074,1259274,1385804,1381003,1313355,1355000,1477546,1488950,1515210,1546715,1667872,1872400,2315775,2249605,2410040,2308407,2401120,2273631,2269357
가자미류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,0,6,9,12,2,-,-,-,-,-,-,-,-,-,17,160,379,552,1081,601,840,2377,1841,1737,2564,3373,3669,3336,6214,7725,7730
고등어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,50,80,184,301,195,249,285,75,275,206,172,113,247,203,280,230,247,231,386,248
넙치류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,16,249,1037,1815,3199,4029,5270,6733,8861,26274,22277,21368,14127,16426,23348,34533,32141,40075,43852,41171,46432,54674,40925,40805,39371,36944,43413,45759,41620,41207,37241,43360,43813,41776,45827,39931
농어류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,391,377,79,205,98,193,266,703,940,797,605,873,2006,2778,1850,2600,1571,2361,2007,2395,1952,1835,1522,1248,1004,1780,1878,2046,1024,774,843,1212,920,576
능성어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,15,12,2,9,5,1,5,6,20,39,101,36,155,46,146,46,180,270,150,52,56,67,134,217,443,292,145,79,86,220,240
참다랑어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,-,-,-,-,-,6,19,26,28,49,41
감성돔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,0,8,8,9,2,12,51,92,221,275,685,1084,1379,2671,2705,2841,1588,1694,2254,1233,1138,913,929,1383,1422,1725,1452,954,611,1009,1334,1246
자리돔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
참돔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,228,356,117,142,83,25,27,115,146,176,412,641,960,4417,3988,5816,4386,7213,7424,9226,6300,3498,2870,2755,4066,6169,5321,6806,5103,5502,5745,8313,8083,6283
돌돔,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,424,914,902,711,640,782,1002,1050,908,714,902,1262,682,829,603,632
기타돔류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,5,18,39,12,16,14,30,134,186,386,94,234,1287,1430,2048,1689,1109,19,4,9,11,36,16,16,16,27,53,92,80,69,92,173,195
망둑어류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
멸치,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
민어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,1,0,-,-,-,16,51,45,19,7,-,-,13,29,13,5,32,1,0,-,51,40,27,102,71,47,57,93,-,-
방어류,-,20,-,1,-,-,-,-,-,18,7,6,-,-,323,1351,2910,1418,1258,1569,462,893,287,153,209,159,116,302,266,236,494,95,186,114,45,57,66,5,208,304,141,34,181,145,198,629,370,204,440,650,772,444,643,561
보구치,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
복어류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,0,4,6,9,0,-,-,0,15,2,63,29,14,48,76,248,45,57,27,111,121,3,62,27,51,21,21,8,21,19,6,68,26
조피볼락,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,679,751,985,1922,11069,12544,9459,8473,9254,16550,23771,19576,21297,27517,35564,32992,33020,20918,17338,23085,23757,24598,18774,18032,22344,22702,20348,21568,17473,16189,14429
기타볼락류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,386,312,666,166,143,174,114,245,231,721,225,76,86,167,132,339,496,415,263,270,280,307,205,188,176,165,228,198,211,207,247,226,117,86
노래미류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,9,8,12,1,-,-,-,-,7,-,-,-,0,2,-,3,-,-,-
부세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,40,12
송어류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,9,60,37,12,81,71,161,89,91,24,5
쏨뱅이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
숭어류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,8,13,4,13,34,27,201,106,347,968,1415,3898,4093,3596,5500,5651,4921,6149,5581,4657,4850,5839,4788,4839,6834,7110,6828,6382,6609,8449,10352,7756,6642
연어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,100,70,-,1,7,42,12,4
임연수어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,16,22,7,22,14,19,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
갯장어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
붕장어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8,9,30,23,44,-
전갱이류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,34,27,62,8,7,0,-,1,4,1,18,-,-,-,-,-,-,11
전어,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,181,576,2519,1225,397,34,-,136,120,95,130,207,390,225,445,390,789,145,113,151
참조기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,72,35,70,8,46,112,12,20,45
쥐치류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-,7,126,619,35,9,3,0,3,19,74,137,260,569,546,515,263,346,296,293,392,417,491,408,719,693,725,754,569
기타어류,22,-,-,-,15,-,1,-,-,44,31,25,-,-,-,62,5,335,16,843,44,120,18,5,6,7,6,35,8,0,7,9,33,19,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
꽃게,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대하,-,-,-,-,-,-,61,84,65,80,25,29,52,50,75,39,82,113,102,234,257,465,562,272,517,404,377,1533,846,1142,1158,2081,1403,2324,2426,1399,1022,463,130,81,26,16,35,42,13,13,1,18,-,1,1,-,-,-
흰다리새우,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,661,858,1794,1812,2705,2844,2784,3785,4488,5515,5791,5144,5492,7542,8124,9545,9504,6996
보리새우,-,10,-,-,-,-,17,15,20,45,60,88,57,-,18,44,51,71,79,68,55,31,30,19,58,34,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
중하,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
기타새우류,10,10,86,61,5,53,-,-,-,-,-,-,-,-,-,1,-,17,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
기타갑각류,-,10,36,23,-,33,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
골뱅이,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,30,-,8,21,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
굴류,36981,45663,64314,78602,56008,143604,154596,151325,143324,157591,173052,199233,181349,203945,203312,242847,255006,288078,284472,242956,219124,215418,235326,258212,172313,191156,185339,200973,175926,177259,177079,174117,182229,238326,239270,251706,283296,321276,249976,240911,267776,281022,284856,239779,283240,265146,268841,315255,303183,326190,300084,305914,310483,310753
소라고둥,-,-,-,-,-,-,-,-,-,-,-,-,-,79,-,22,11,1,8,-,4,24,98,-,-,87,20,33,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
고둥류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-
오분자기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
전복류,9,19,14,10,1,0,7,24,77,203,98,132,82,2,17,6,19,4,-,-,2,7,15,83,104,61,84,7,3,0,20,29,85,1065,1260,2062,3050,4350,5146,6207,6228,6779,6564,7479,8977,10090,12342,16027,20053,18436,20059,23199,22078,24126
가리비류,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,35,43,45,59,102,637,360,377,2371,66,5,23,173,215,292,286,421,348,253,403,519,484,956,1557,2995,3493,5329,5082,5591,5107,7129,12153
