"ºÎÈ£","¾îÁ¾¸í","Ç×¸ñ","´ÜÀ§","2023.01 ¿ù","2023.02 ¿ù","2023.03 ¿ù","2023.04 ¿ù","2023.05 ¿ù","2023.06 ¿ù","2023.07 ¿ù","2023.08 ¿ù","2023.09 ¿ù","2023.10 ¿ù","2023.11 ¿ù","2023.12 ¿ù","2024.01 ¿ù","2024.02 ¿ù","2024.03 ¿ù","2024.04 ¿ù",
"018","²ÇÄ¡","ÃÑÁß·®[kg]","kg","481.9","933.9","","","","","","","","","","1840.6","2572.5","66.4","6.7","",
"021","ÇÐ°øÄ¡","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","15531","7536","7792","","","","167","326","","6348","","41656","67004","51234","16260","2338",
"021","ÇÐ°øÄ¡","ÃÑÁß·®[kg]","kg","1362.7","613.8","493.5","","","","33.4","35.7","","1856.5","","2188.6","5419.9","4415.3","1775.6","441.5",
"024","³ÒÄ¡·ù(±¤¾î)","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","508","134","3813","34704","63085","39149","32253","37911","7630","15086","18132","4345","252","172","1297","20481",
"024","³ÒÄ¡·ù(±¤¾î)","ÃÑÁß·®[kg]","kg","193.4","302.4","6740.4","53646","123872.9","62719.8","41913.8","52060","7139","16069.8","21899.7","6065.3","512.7","378","1737.3","29512.7",
"030","³ó¾î·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","181","118","3577","8690","15239","28558","16379","17312","7505","6516","6581","891","2663","328","1850","5225",
"030","³ó¾î·ù","ÃÑÁß·®[kg]","kg","229.5","180.9","6684.4","15640.7","24426.5","47629.5","25777.8","28618.9","9862.6","7724.1","8020.8","1092.7","1662.1","321.6","1107.1","7006.5",
"033","´«º¼´ë","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","697","","","","","32","","","","","","","","","","",
"033","´«º¼´ë","ÃÑÁß·®[kg]","kg","356.2","","","","","10.5","","","","","","","","","","",
"036","´É¼º¾î","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","18","3","","","543","2","2","146","26","31","60","","","","14","299",
"036","´É¼º¾î","ÃÑÁß·®[kg]","kg","19.4","5.8","","","429.5","1.5","3.4","250.9","25.4","21.4","25.5","","","","23.6","387.7",
"038","Âü´Ù¶û¾î","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","","","","","","25","9","12","20","167","82","43","24","13","","9",
"038","Âü´Ù¶û¾î","ÃÑÁß·®[kg]","kg","","","","","","49.6","25.8","25.6","14","443.4","197.8","70.7","54.1","43.5","","16.6",
"039","±âÅ¸´Ù¶û¾î·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","","","16","","","5","","345","63","9","387","99","","","3","",
"039","±âÅ¸´Ù¶û¾î·ù","ÃÑÁß·®[kg]","kg","","","46.2","","","7.4","","169.3","126.3","13.5","928.5","85.6","","","2.4","",
"045","´ë±¸","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","9669","9144","10545","2363","1304","5856","4326","7777","12624","17609","20313","31274","22533","12387","17890","3423",
"045","´ë±¸","ÃÑÁß·®[kg]","kg","17493.3","16885.6","17693.9","2571.5","1331.5","3505.4","8994.4","19473.6","22696.8","27062.2","35506.9","48776.9","36818.4","24705.7","25397.9","4602.2",
"048","°¨¼ºµ¼","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","25604","20261","34357","34036","4018","20287","11593","159145","208889","193066","121817","99045","60237","48878","53633","65803",
"048","°¨¼ºµ¼","ÃÑÁß·®[kg]","kg","23007.3","18088.5","31521.9","30296.6","4457.1","17068.2","8108.7","67518.5","105509.6","95351.9","83440","89421.1","59952.4","48427.5","49533.4","61283.9",
"051","¿Áµ¼·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","6","","13","51","37","","","","","13","5","7","69","","3","37",
"051","¿Áµ¼·ù","ÃÑÁß·®[kg]","kg","6.8","","6.6","33","29.3","","","","","23.4","2.6","2.2","27.4","","2.3","21.2",
"054","ÀÚ¸®µ¼","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","","1135","56","1169","4158","3227","473","926","2516","3700","2325","2072","2407","1534","1524","3270",
"054","ÀÚ¸®µ¼","ÃÑÁß·®[kg]","kg","","52.9","5.6","95.1","363.8","318.3","33.3","58.4","66.2","152.6","71.9","117","132.7","89.3","96.3","217.4",
"057","Âüµ¼","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","36498","34080","25287","26291","50667","52813","44895","44129","33924","46579","42597","47967","39357","30806","47587","35375",
"057","Âüµ¼","ÃÑÁß·®[kg]","kg","29234","27719.4","17500.8","17249.9","42724.3","60658.2","36433.8","41262.7","30495.9","27659.6","32275.4","42179.1","36244.4","19230.7","45446.2","35960",
"059","µ¹µ¼(ÁÙµ¼)","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","461","365","357","983","3089","4229","6526","9109","5661","19728","14607","4825","10384","7941","7857","12460",
"059","µ¹µ¼(ÁÙµ¼)","ÃÑÁß·®[kg]","kg","402","267.2","432.1","743.8","3544.1","8783.6","6022.5","6757.5","3548.9","10688.9","7820.5","3172.1","13226.1","6515.9","5306.8","12683.4",
"060","±âÅ¸µ¼·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","4222","4234","5980","7208","13631","43623","54932","41737","25744","19433","13240","7580","4680","8066","23453","48939",
"060","±âÅ¸µ¼·ù","ÃÑÁß·®[kg]","kg","2860.2","2840.5","2472","2649","5609.2","24115.9","22035.3","16774.7","13444.5","9834.9","5728.9","3242.4","2372.9","4303.6","7764.1","18331.6",
"063","¸ÁµÏ¾î·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","","","","","","","","12424","20019","12822","9532","1202","158","","84","",
"063","¸ÁµÏ¾î·ù","ÃÑÁß·®[kg]","kg","","","","","","","","495.3","1590.7","2101.4","2735.6","121.8","29.8","","8.4","",
"069","¸êÄ¡","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","","","","","","","","3","","","","","","","","",
"069","¸êÄ¡","ÃÑÁß·®[kg]","kg","","","","","","","",".3","","","","","","","","",
"075","¹Î¾î","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","","","26","281","1498","5388","8056","10439","3264","4329","79","","","","9","",
"075","¹Î¾î","ÃÑÁß·®[kg]","kg","","","63.8","541.9","3082.9","9004.5","11119","13362","4480.5","6820.9","88.9","","","","12.9","",
"078","¹æ¾î·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","9909","5351","9771","6901","7151","7499","14278","8758","10383","24584","30748","29031","13402","5272","5059","6799",
"078","¹æ¾î·ù","ÃÑÁß·®[kg]","kg","22256.7","12158.6","28928","20464.2","19328.7","16565.9","29697.6","16529.4","17949.7","56198.5","80626.6","112584.7","45641.1","18207.7","15717.2","20356.3",
"081","¹ê´óÀÌ·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","","","","","","99","","","","","","","","","","",
"081","¹ê´óÀÌ·ù","ÃÑÁß·®[kg]","kg","","","","","","19.8","","","","","","","","","","",
"087","º´¾î·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","","","","","","708","152","","","","","","","","","",
"087","º´¾î·ù","ÃÑÁß·®[kg]","kg","","","","","","402.2","53.3","","","","","","","","","",
"090","º¸±¸Ä¡","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","","","","1086","12763","164182","790246","1297829","5270","1645","534","","","364","189","390",
"090","º¸±¸Ä¡","ÃÑÁß·®[kg]","kg","","","","546.7","5541.6","58197.1","215782.6","338962.9","1082.9","412.6","158.4","","","186.5","102.8","101.8",
"096","º¹¾î·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","12","36","51","216","465","535","109","126","153","2735","457","103","48","105","","89",
"096","º¹¾î·ù","ÃÑÁß·®[kg]","kg","2.4","4.4","6.4","25","82.1","602.2","10.1","68.5","103","1986.1","438.3","33.6","24","22.3","","23.3",
"099","Á¶ÇÇº¼¶ô(¿ì·°)","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","54799","95644","128952","160155","208007","188476","76957","79089","68559","108580","176161","147274","105393","55735","75922","199634",
"099","Á¶ÇÇº¼¶ô(¿ì·°)","ÃÑÁß·®[kg]","kg","32826.2","81002.6","53268.7","92800.4","121941.4","88250.5","37587.8","35504.7","25205.5","39417.9","74740.5","78142.6","52978.3","29805.1","34483.1","96881.6",
"102","±âÅ¸º¼¶ô·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","209650","164849","279668","208131","168195","109475","27029","13464","12657","11505","48156","488185","514580","407582","783808","627706",
"102","±âÅ¸º¼¶ô·ù","ÃÑÁß·®[kg]","kg","41273.8","37547.8","44542.9","35386.3","33946.4","27099.6","6048.6","3073.6","4039.4","3064.6","4771.9","98738.1","91507.6","73945.6","134970.6","121533.2",
"103","³ë·¡¹Ì·ù","ÃÑ¸¶¸´¼ö[¸¶¸®]","¸¶¸®","2388","8281","16053","73266","82438","58102","33506","28359","36164","33644","7792","9289","23705","20437","29852","76377",
"103","³ë·¡¹Ì·ù","ÃÑÁß·®[kg]","kg","790.1","2140.7","6981.8","35847.9","33442.9","22061.4","12020.5","8516.2","9551.5","9400","1134.1","3206.9","4825.3","5744.6","9395.7","27872.8",
