시점,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계,생산량:계
1995,1425213,3990,13674,-,94596,70394,200481,-,6544,1531,1914,2262,925,517,38,-,1816,2065,273,521,2027,341,552,-,1744,1941,209,230679,-,6903,2164,3586,18345,4806,10896,2574,199,10178,1695,2979,-,546,17429,871,1944,40,1195,68,-,4282,8173,-,9677,2520,260,2848,1604,19,19667,12269,7931,13539,25173,20025,466,1755,8622,-,2227,-,91183,117161,17651,79,33155,-,24854,5414,1242,1406,-,2399,16495,2168,-,12298,-,5224,18262,8834,-,-,159,199,15,1484,9038,1415,-,9225,4905,15041,2715,428,4,3634,473,2942,-,-,8270,2567,1222,10803,7027,3870,200897,-,633,25,3707,2067,1891,-,1016,62,42,-,979,-,145,-,3868,7798,283,530,6179,497,-,-,1985,996451,9,-,6733,193,2,-,9,-,25,-,16,-,-,0,159,-,0,985,174,-,-,-,-,34,-,14,-,-,-,-,-,-,7,-,404,-,34,-,-,-,-,191156,87,-,-,61,59,66,-,13027,-,478,7169,15260,122,-,-,51,9357,75353,-,6,-,-,3675,0,22626,1,-,-,192960,-,-,27295,-,-,386819,-,-,2,37679,4344,-,-,-
1996,1623822,3632,18066,-,74461,57274,415003,-,9687,990,2317,3825,1178,386,41,-,2792,2501,472,545,2315,350,762,-,1616,1598,162,237128,-,4445,1940,3977,10663,5073,9484,2509,248,9708,1854,2793,-,801,6419,785,1644,75,1343,58,-,4200,11720,-,6613,2900,102,3683,1411,49,17314,14542,4908,18560,22894,19716,630,1772,5525,-,3127,-,74172,116795,15754,133,37362,-,23813,3405,1121,1242,-,1783,18411,2211,-,11560,-,2975,18259,7361,-,-,161,188,20,1200,6053,995,-,10944,3833,12392,2315,2583,176,834,782,2191,-,-,9374,1484,1380,11611,6064,3709,252618,-,549,13,2802,3641,1979,-,873,189,54,-,1795,120,68,-,6642,3551,57,381,8086,373,-,-,1594,874810,12,-,8861,266,9,-,2,-,27,-,14,-,-,-,116,-,-,1922,114,-,-,-,-,27,-,19,-,-,-,-,-,7,6,-,377,-,5,-,-,-,-,185339,20,-,-,84,102,27,-,4473,-,183,6843,18478,47,-,-,3,20166,70058,-,915,-,-,4205,-,13093,0,-,-,166199,-,-,35640,-,-,305813,-,-,8,23054,8272,-,-,4
1997,1367406,3412,18079,-,67170,67804,160448,-,18626,1193,1592,910,1501,559,24,-,3115,2194,481,596,2230,333,1419,-,2041,1722,207,230911,-,6373,1177,6064,5593,919,10770,1565,199,7471,1813,3601,-,332,11173,565,1289,86,522,161,-,5564,5045,-,8832,4196,111,1880,2518,6,19136,22766,13836,9041,21769,13178,349,16318,13214,-,3223,-,74721,109405,11430,815,38896,-,19030,2729,918,1911,-,2102,15624,1976,-,13974,-,1617,17210,6878,-,-,203,214,196,2028,7179,493,-,8851,4081,16854,2075,1587,-,4098,667,3211,-,-,14346,2082,1455,10103,8236,4613,224959,-,837,35,2771,2780,2217,-,949,90,24,-,761,70,102,-,4490,6182,85,92,7783,490,-,-,3064,1015134,2,-,26274,703,5,-,12,-,115,-,30,-,-,-,302,-,-,11069,245,-,-,-,-,201,-,2,-,-,-,-,-,126,35,-,1533,-,-,4,-,-,-,200973,33,-,-,7,637,5,1,2843,-,19,6585,13958,47,-,-,22,13156,63572,-,15,-,-,2442,-,22318,0,-,-,140236,-,-,33466,-,-,431872,-,-,-,34470,7794,-,-,5
1998,1308336,2600,20135,-,74851,53998,172925,-,4609,1160,2002,0,2957,688,77,-,3371,1490,476,534,1810,80,1657,-,1840,1299,215,249519,-,6232,1285,9620,1974,1029,13210,1777,48,3897,2092,2510,-,294,22809,503,654,146,964,186,-,4962,3970,4801,-,2857,56,7911,1506,12,11913,22132,11349,7595,15011,12443,381,9364,13340,-,1764,-,110197,104222,13813,459,33146,-,10274,3249,458,1245,-,1138,15993,3651,-,19365,1431,1325,9905,9192,-,-,87,71,42,580,2877,12114,-,2411,2862,14585,3472,1078,73,6456,1311,1469,-,-,9652,2563,4119,6395,12038,7999,163016,-,1959,56,1410,891,1439,-,986,635,1,-,500,15,19,-,784,3136,116,280,3856,61,-,-,3191,777230,-,-,22277,940,1,-,51,-,146,-,134,-,-,-,266,-,0,12544,231,-,-,-,-,106,-,-,-,-,-,-,-,619,8,-,846,-,-,-,-,-,-,175926,1,-,88,3,360,33,-,5041,-,-,68,17178,-,52,-,190,23029,17785,-,0,-,-,5650,-,8177,0,-,15711,191578,-,-,7931,-,-,239742,-,-,-,24993,5298,-,-,227
1999,1336062,3948,19569,-,64434,50494,177540,-,11400,913,1679,-,2933,531,20,-,2861,2449,894,619,1651,12,924,-,1117,897,35,238934,-,1392,1566,8627,6674,3374,15235,2196,107,4787,1813,2760,-,270,19502,449,836,43,421,92,-,9678,3406,4806,-,2248,57,1005,1900,0,10160,13552,9511,17142,13490,14500,265,2999,20010,-,662,-,96782,90038,11819,1134,22366,-,11875,4620,485,814,-,480,19389,3633,-,11778,1645,1672,11690,7283,-,-,43,79,6,1331,7620,6503,-,4325,1751,13963,1799,112,73,6771,534,1414,-,-,7333,6652,1629,5966,8179,5117,249991,-,564,29,1182,1142,1204,-,1001,418,13,-,577,24,24,-,600,2307,142,391,7423,183,-,-,793,765252,-,-,21368,797,5,-,92,-,176,-,186,-,-,16,236,-,15,9459,721,-,-,-,-,347,-,-,-,-,-,-,-,35,0,-,1142,-,-,-,38,-,-,177259,1,-,-,0,377,3,2,2511,-,-,-,16135,17,19,-,1104,8550,15042,-,11,-,-,11292,-,11845,0,-,12779,205706,-,-,25447,-,-,213706,16,2,43,22679,5873,-,-,200
2000,1189000,2309,15423,-,81050,31345,145908,-,19883,956,1607,-,1201,918,29,-,3245,1571,1766,658,1664,59,986,-,1339,788,795,201192,-,766,1999,4814,4603,9693,7838,1864,100,2978,2682,2105,-,354,25641,262,1148,79,-,92,-,8730,4930,16293,-,2310,28,2554,1862,1,8303,19510,6366,2207,19630,7105,134,2891,13473,-,256,-,71335,74994,12842,756,16281,-,9372,5263,461,1211,-,578,13985,2621,-,10488,1136,818,15939,7281,-,-,37,76,0,2273,4149,4184,-,2468,1572,20982,1430,411,103,5795,318,1133,-,-,8134,1267,885,5861,8718,4569,226309,-,438,3,1461,1440,1419,-,1882,1,0,-,350,15,29,-,1717,2872,66,220,6062,64,-,-,1627,653373,-,-,14127,605,6,-,221,0,412,-,386,-,-,51,494,-,2,8473,225,-,-,-,-,968,-,-,-,-,-,-,-,9,7,-,1158,-,-,-,-,-,-,177079,-,-,-,20,2371,46,1,820,-,-,-,17927,-,-,0,1998,10618,11713,-,15,-,-,13889,-,2336,-,-,12940,130488,-,-,14160,-,-,212429,0,-,164,11654,5288,-,-,273
2001,1252099,2880,14503,-,79898,24502,203717,-,5336,613,1707,-,1566,612,28,-,3295,1286,2458,512,1049,5,913,-,1419,703,758,273927,-,207,2156,6475,766,3831,6819,998,10,3735,2765,2238,-,426,25513,389,1013,140,-,149,-,9784,5813,4803,462,1699,19,1261,1080,3,7676,17537,9120,129,7938,2986,40,1578,8491,-,211,-,91781,67070,13016,1001,12973,-,9001,3145,415,582,-,513,11705,2385,-,8077,4257,730,10056,6274,-,-,38,66,11,1964,3409,923,-,5774,1452,20004,1044,2002,43,3828,153,1085,-,-,6472,1443,898,5911,9668,4294,225616,-,501,49,1454,1004,900,-,1302,11,1,-,357,13,22,-,2664,3768,35,404,7024,40,-,-,594,655827,-,-,16426,873,20,-,275,-,641,-,94,-,-,45,95,5,63,9254,76,-,-,-,-,1415,-,3,-,-,-,-,-,3,9,-,2081,-,-,-,-,0,-,174117,-,-,-,29,66,25,6,3842,-,-,-,16433,26,0,-,1240,7359,13653,-,282,-,-,15084,-,4603,-,-,14146,167909,-,-,17506,-,-,175490,-,-,7,6865,5760,-,-,1
2002,1095812,2356,13816,-,60172,19793,141751,-,7099,670,1822,-,1479,558,9,-,2344,3381,1968,764,1341,6,1084,-,1466,388,33,236315,-,215,1148,5374,788,2247,6191,734,15,3110,3227,1669,-,325,25956,243,585,260,-,111,-,8887,9500,5145,7,1199,33,627,883,0,17210,26037,4717,8,10941,3240,19,933,1941,-,227,-,71691,57327,18659,896,9166,-,6753,4132,391,222,-,217,7013,1736,-,7206,936,1555,7950,7193,-,-,26,49,0,2162,3464,790,-,6730,702,14758,1704,810,46,3500,228,946,-,-,4723,1920,836,5297,12408,3911,226656,-,383,59,1459,966,833,-,1936,29,0,-,88,2,-,-,1089,2150,117,558,5081,412,-,-,901,781519,-,-,23348,2006,39,-,685,-,960,-,234,-,-,19,186,-,29,16550,86,-,-,-,-,3898,-,-,-,-,-,-,-,0,33,-,1403,-,-,-,-,-,-,182229,-,-,-,85,5,219,-,413,-,-,-,10652,5,-,-,577,4745,13201,-,302,-,-,5266,-,9613,-,-,7174,209995,-,-,24873,-,-,242135,4,-,72,11016,9291,-,-,171
2003,1096526,2566,13107,-,62861,18880,122044,-,1424,411,1801,-,1564,1525,26,-,3739,1928,1826,866,1303,5,756,-,1322,789,644,250106,-,242,1299,3671,885,3718,7496,460,14,2486,3811,2222,1407,220,22608,213,730,225,-,123,-,7877,10486,2419,1047,1495,42,3083,800,63,17451,20454,6518,18,7098,2354,11,1429,3571,-,222,-,28767,66002,9478,1889,19262,-,6798,3988,393,148,-,240,12885,325,-,7875,2721,2600,20201,14065,-,-,21,73,32,1023,5694,5267,-,21240,6311,13148,6918,1288,15,2443,509,817,2680,-,5533,872,758,7248,5121,5200,233254,-,171,994,1607,836,1281,-,1622,122,-,-,37,7,-,-,942,467,62,27,2744,182,-,-,564,826245,-,5,34533,2778,101,-,1084,-,4417,-,1287,-,-,7,114,-,14,23771,167,0,-,-,-,4093,-,-,-,-,-,-,-,3,19,-,2324,-,-,-,-,-,-,238326,-,-,-,1065,23,189,0,2440,-,-,2,27494,167,73,-,783,4696,15785,-,20,-,-,2047,-,3116,-,-,3248,193553,-,-,25259,-,-,198172,-,-,53,33661,1355,-,-,1
2004,1076687,2320,12038,-,66291,18727,184274,-,2960,1137,1737,-,1382,3336,50,-,1755,2472,2641,820,1405,15,518,-,1408,1105,29,196646,-,64,974,5321,755,1888,9286,320,8,3971,3774,1266,2578,65,26622,172,803,302,-,148,-,8023,11885,223,2419,1477,16,772,766,58,16506,25513,4313,215,17570,2443,16,1267,5113,-,259,-,11990,57110,2683,2605,23113,-,8110,2575,595,848,-,132,7889,414,-,7383,763,2101,25690,9507,-,-,19,82,18,950,3363,2571,-,13433,5456,12902,6860,2846,15,2471,257,588,5380,-,5671,905,793,7023,5953,5048,212760,-,106,211,1301,1115,1154,-,1741,3,0,-,-,48,-,-,719,1791,11,616,5284,71,-,-,517,917715,-,50,32141,1850,36,-,1379,-,3988,-,1430,-,-,-,45,-,48,19576,132,2,-,-,-,3596,-,-,-,-,-,181,-,19,3,-,2426,-,-,-,-,-,-,239270,-,-,-,1260,173,79,-,10849,-,-,-,27570,127,-,-,1997,3134,20409,0,21,-,-,2590,-,6349,-,-,237,228554,-,-,22510,-,-,261574,-,-,142,22814,1154,-,-,-
2005,1097041,2446,15319,-,60086,15495,135596,-,4319,607,2112,-,1173,2858,32,-,3324,2401,4272,1117,1186,78,513,-,1404,7486,77,249001,457,25,1302,2876,1756,6955,11448,287,22,2226,3000,1725,2554,38,33794,259,1396,375,-,129,491,9774,11448,1160,3925,1738,15,1048,810,11,14739,42608,6264,46,15272,3435,17,1055,7592,-,255,4732,13986,62075,3714,3240,21926,-,10383,3364,742,989,-,282,7352,834,-,8269,980,1696,27320,8498,-,-,66,136,13,826,128,1827,-,5201,2240,14447,3135,945,32,3453,230,724,6534,-,3561,1325,1304,7658,7637,4390,189126,-,77,62,2035,1485,1135,-,561,13,7,-,9,128,2,-,4740,3079,84,3083,3520,246,-,-,301,1041074,-,80,40075,2600,155,-,2671,-,5816,-,2048,-,-,-,57,-,76,21297,339,9,-,-,-,5500,-,-,-,-,63,576,-,74,1,-,1399,-,-,-,-,-,-,251706,-,-,-,2062,215,80,-,3226,-,-,-,17401,47,2,-,4950,2548,43953,-,65,-,-,1412,-,9334,1,-,80,197610,-,-,108327,877,-,281871,-,-,1597,30058,814,-,-,2
2006,1108815,3126,19879,-,63739,19375,101427,-,697,369,2298,-,1173,2044,11,-,2715,2647,6810,1055,1537,135,502,-,1489,2081,17,265346,910,60,2002,5073,953,2967,13873,338,165,3368,3713,1400,2968,125,36484,208,1887,888,-,143,321,8835,12226,1546,4197,1948,37,1294,672,15,15242,23227,7315,0,21428,6686,19,1071,12496,-,392,4429,15655,73715,6894,4062,23890,-,10184,4272,772,1261,-,215,7810,980,-,12353,1022,1434,31016,7496,-,-,54,116,23,662,612,4366,-,7597,854,7559,4490,272,0,5409,148,1184,3399,-,3743,1988,1354,7397,7894,4032,197084,-,43,8,2596,1105,1614,-,749,2,11,-,12,473,1,-,3569,3012,328,2875,2933,164,-,-,374,1259274,-,184,43852,1571,46,-,2705,-,4386,-,1689,-,-,13,66,-,248,27517,496,8,-,-,-,5651,-,-,-,-,34,2519,-,137,1,-,1022,661,-,-,-,-,-,283296,-,-,-,3050,292,256,-,5063,-,-,-,14327,107,-,-,872,2064,81617,-,116,-,-,1519,-,7127,-,-,1849,217559,-,-,201919,919,-,322371,-,-,165,21125,682,-,-,173
2007,1152299,3996,24340,-,66029,13817,143776,-,4740,293,3074,-,1007,2886,35,-,4134,3769,7533,947,1570,172,686,0,1501,1661,349,221110,884,35,3030,6524,795,1505,9489,547,215,2512,4037,1772,2966,77,42199,227,1979,729,-,186,383,11312,14417,1631,3682,1790,102,1266,1071,29,19399,19089,9873,106,34221,3383,18,2998,28280,-,375,3165,18247,85297,13606,4817,25388,-,8423,3885,734,704,-,315,12553,1010,-,12541,1321,1639,29316,6909,-,-,62,197,278,674,606,481,-,2601,1457,8640,2662,1817,0,7897,152,1620,3422,-,3284,1938,1657,8625,12033,6828,174479,0,51,1,2651,1127,2936,-,803,24,69,-,28,446,13,-,6384,2859,289,3950,2672,167,-,-,1288,1385804,17,301,41171,2361,146,-,2841,-,7213,-,1109,-,-,29,5,-,45,35564,415,12,-,-,-,4921,-,-,-,-,27,1225,-,260,1,-,463,858,-,-,-,-,-,321276,-,-,-,4350,286,134,-,28372,-,3,-,18819,181,-,-,3870,3015,98121,-,219,-,-,2309,-,9318,-,-,3594,210956,45,-,250049,490,-,309097,-,-,158,20909,684,-,-,565
2008,1284890,2236,20162,-,72313,11046,187240,3216,4909,462,4184,-,934,3743,45,-,3702,2720,5395,1140,1073,91,1304,190,1389,909,102,261532,581,0,4588,12643,4893,567,8120,656,131,2820,4477,1111,2760,166,40809,245,1478,1135,-,223,229,8248,17931,6702,4033,2082,186,758,1306,37,18437,22752,7187,108,33200,3868,9,2631,45472,-,1208,4385,19767,87631,17596,3019,28293,4862,4438,2496,554,259,-,254,14934,1646,-,8339,941,1133,29185,3055,-,5592,102,70,15,1037,146,1320,-,1444,1344,20761,1415,364,4,5487,1228,2448,2672,122,2364,3034,2378,7879,11838,4052,186160,864,68,0,3555,1482,2256,107,436,1,11,-,2,1170,260,-,3114,1093,63,1400,2721,295,0,-,3736,1381003,160,195,46432,2007,46,-,1588,-,7424,424,19,-,-,13,208,-,57,32992,263,1,-,-,-,6149,-,-,-,-,62,397,-,569,-,-,130,1794,-,-,-,-,-,249976,-,-,-,5146,421,68,-,1637,-,213,-,15541,39,-,-,1318,1903,67442,-,-,-,-,2620,0,7826,-,4899,-,224242,-,-,285221,1059,-,381076,-,-,1186,17701,8003,2536,-,-
2009,1226966,2593,19687,-,85450,12074,117960,57369,3550,518,5439,-,1114,3454,55,-,3307,3939,6870,1097,1215,301,1864,127,1634,1058,279,203728,1842,1,4770,14080,5983,137,5929,682,231,4368,3178,1033,2514,148,36793,341,1430,728,-,256,253,6178,14961,2380,3503,2220,25,191,1650,18,13507,22087,5826,47,34033,2078,1,8280,37514,-,3254,4951,13419,100126,31302,2372,29993,6882,2761,3452,1111,219,-,297,13722,1048,-,5936,1031,1288,24254,2534,-,5799,34,192,50,864,331,3865,-,698,807,22488,1396,3504,16,7368,5638,3399,1918,15,3734,3396,2260,7013,15386,4285,189160,1564,148,5,2846,1107,2789,10,334,23,113,-,354,670,381,-,3882,822,36,553,2590,297,3,-,1119,1313355,379,249,54674,2395,180,-,1694,-,9226,914,4,-,-,5,304,-,27,33020,270,-,-,-,6,5581,-,-,-,-,8,34,-,546,-,-,81,1812,-,-,-,-,-,240911,-,-,-,6207,348,74,-,2966,-,-,-,17905,64,-,-,1320,1714,55035,-,-,-,-,3845,-,7208,-,5690,0,211444,-,-,306183,1826,-,309155,-,-,1796,19533,5903,2819,-,-
2010,1132536,2021,20107,-,59242,5003,94331,5203,2564,-,6035,-,1154,3105,39,293,4710,4236,7289,916,1549,1200,2412,109,1754,688,-,249636,5218,1,3913,19468,1787,-,8871,846,1,3194,2351,1455,2103,192,35778,525,1477,979,-,-,873,6587,13104,13557,0,2215,177,1470,1358,15,13757,19305,8282,61,31931,1972,0,3475,25005,723,4131,5402,21043,108199,33193,2606,30749,6456,2425,2587,1093,252,-,123,18861,652,-,8099,1103,-,22686,-,3018,7242,27,208,132,2315,248,3959,-,1393,698,12818,1146,949,-,10224,5720,3271,1950,-,2376,4105,2203,6954,10813,2977,159130,1416,179,1,2868,1076,2687,160,147,8,9,-,180,118,256,-,4783,3715,-,451,2366,368,29,-,760,1355000,552,285,40925,1952,270,-,2254,-,6300,902,9,-,-,32,141,-,111,20918,280,-,-,-,-,4657,-,-,-,-,7,-,-,515,-,-,26,2705,-,-,-,-,-,267776,-,-,-,6228,253,109,-,1155,-,-,-,23430,-,-,-,748,1560,54440,-,0,-,-,2920,-,6364,-,5504,-,235534,-,-,241322,2383,-,393616,-,-,1394,21133,4531,1759,-,-
2011,1235489,2277,20017,-,33101,13990,138729,11847,2691,396,4675,-,1437,2491,39,148,2054,3834,8585,962,923,631,2490,122,1696,828,-,292730,3211,1,3958,9935,1685,-,6600,1007,-,3797,2657,1617,2103,225,29294,345,1501,1063,-,-,594,6912,15808,7439,-,2331,60,81,1219,23,15896,42853,5766,2477,59226,1787,3,1606,23448,358,2925,5604,30495,101723,26608,2567,32520,5773,2345,1944,1151,52,3,74,20728,1052,-,5735,1171,-,24985,-,2877,6913,3,162,51,1387,544,1581,-,1444,372,12230,793,251,-,7521,3692,2226,2314,-,2884,2461,2495,6445,10421,2596,171643,1064,290,17,2467,1730,2259,117,141,43,0,-,90,220,289,-,2742,5011,-,396,4797,305,4,-,890,1477546,1081,75,40805,1835,150,0,1233,-,3498,711,11,-,-,1,34,-,121,17338,307,-,-,-,-,4850,-,-,-,-,0,136,-,263,-,-,16,2844,-,-,-,-,-,281022,-,-,-,6779,403,272,5,1616,-,-,-,25699,7,-,-,830,2110,70416,-,0,-,-,2655,-,11676,92,6372,-,316428,-,-,246701,2529,-,394003,-,-,1005,23351,6085,2179,-,2
2012,1091034,1807,19868,-,32526,7760,125143,3324,2431,381,4392,-,1381,2742,39,242,1704,5493,8682,803,1307,180,2598,124,1732,1097,-,221980,1823,1,3673,9021,2036,-,4986,1152,-,3021,2922,1610,2341,152,33377,313,1352,1584,-,-,695,4752,12090,4261,-,1894,47,551,1341,43,16365,31098,11002,918,36840,1789,6,1419,28013,320,2123,4101,27618,105234,26861,2318,36973,5314,1874,1699,1303,352,-,59,20221,1328,-,5961,969,-,18424,-,2950,6776,5,168,151,655,402,1945,-,531,264,12405,572,426,-,6557,560,1735,2037,-,1493,3136,2231,5799,10080,3415,181408,1133,207,6,2351,1448,1935,8,77,35,6,-,39,153,104,-,2184,3532,-,593,2242,592,2,-,641,1488950,601,275,39371,1522,52,3,1138,-,2870,640,36,0,-,0,181,-,3,23085,205,-,-,20,-,5839,-,-,-,-,-,120,-,346,-,-,35,2784,-,-,-,-,-,284856,-,-,-,6564,519,17,-,2232,-,-,-,12623,-,-,-,81,1872,61310,-,0,-,-,2492,-,9031,10,5868,22,349827,-,-,308601,1354,-,339924,-,-,855,13024,6002,2739,-,-
2013,1044697,1849,18171,-,47099,7154,102114,12656,3300,672,4295,-,1408,3449,26,464,1699,6306,9133,654,1766,80,2289,102,1225,948,-,209102,2434,1,7918,13625,891,-,5387,1190,-,3860,2411,1573,1757,190,29394,332,1157,1564,0,-,523,3168,11686,3503,-,1749,132,1136,862,25,13405,15072,8695,3565,35279,2260,20,1295,45127,398,1651,3797,31529,105537,30448,1868,38013,2929,2147,1924,704,472,-,221,18930,1154,-,5628,1099,-,12751,-,2698,6193,5,119,44,310,218,1070,-,1968,208,13565,132,471,-,5060,377,1967,2199,-,1280,4025,1494,5061,9109,2340,154555,1749,91,7,3091,1573,2112,20,210,28,13,-,4,235,16,-,2787,2724,-,132,1617,373,0,-,637,1515210,840,206,36944,1248,56,-,913,-,2755,782,16,-,-,-,145,-,62,23757,188,7,-,9,-,4788,-,-,-,-,1,95,1,296,-,-,42,3785,-,-,-,-,-,239779,-,-,-,7479,484,62,-,1590,-,361,-,4580,32,-,-,1,2227,34429,-,-,-,-,2759,-,10282,23,2881,-,405525,-,-,373264,24,-,327375,-,-,2045,13311,5034,4727,-,-
2014,1058598,1857,18905,-,46930,7222,127450,2471,320,915,4008,-,1600,2829,28,1314,2520,4679,13402,706,1932,194,2169,92,1421,503,-,221375,2845,2,6389,11158,1497,-,3419,1796,-,4002,2362,1594,1570,557,29537,294,1390,1661,0,-,516,2944,12903,2577,157,1685,316,1125,1272,61,13254,24005,8795,335,27621,2248,6,2407,23821,540,1874,4225,23069,102272,25242,2412,38189,3101,2450,1110,589,650,-,213,18334,895,-,7845,1243,-,19794,-,2322,7342,10,175,55,376,143,893,-,1567,153,12490,300,1910,-,4701,110,1766,2329,-,1091,3333,1479,5274,9823,2486,163896,1245,110,0,2700,1670,2075,2,4443,32,16,-,12,90,37,-,3517,3180,-,304,1443,875,0,-,86,1546715,2377,172,43413,1004,67,-,929,-,4066,1002,16,-,-,51,198,-,27,24598,176,-,-,60,-,4839,-,-,-,-,4,130,16,293,-,-,13,4488,-,-,-,-,-,283240,-,-,-,8977,956,91,0,935,-,31,-,7213,46,-,-,1,2921,51463,-,-,-,-,1641,-,7037,9,7025,-,397841,-,-,372311,145,-,283707,-,-,5550,16563,6055,5021,-,-
2015,1058319,1308,14925,2828,41049,6493,131735,8889,573,1172,3705,-,1511,2878,30,722,1156,4762,7820,780,1901,220,2062,101,1898,409,-,211574,3223,3,4572,8827,2852,-,3314,2306,-,4200,2399,1771,1711,663,37872,267,1340,1418,11,-,510,3142,11888,2110,-,1984,404,1448,1402,80,12641,43362,5473,2911,33254,1332,4,2040,25903,358,2349,4608,26159,90002,16374,1915,41647,3425,2484,1651,615,581,-,76,11730,560,-,7537,1407,-,21484,-,2680,6949,4,145,24,645,175,1152,-,1571,732,15241,424,80,-,4510,51,1566,1828,-,1293,5329,1166,6690,8753,2232,155743,1916,194,39,2963,1507,2211,3,582,64,37,-,10,302,93,-,3963,735,-,266,947,913,2,-,494,1667872,1841,113,45759,1780,134,-,1383,-,6169,1050,16,-,-,40,629,-,51,18774,165,-,-,37,-,6834,2,-,-,-,1,207,72,392,-,-,13,5515,-,-,-,-,-,265146,-,0,-,10090,1557,0,-,96,-,10,-,10276,36,1,-,50,3167,51642,0,-,-,-,4119,-,21326,-,4513,-,386646,4,-,442637,86,-,333061,-,-,3895,28157,6603,3777,-,-
2016,907580,981,12023,3021,32331,2179,133200,22244,869,598,3555,-,1841,3195,44,1031,1065,7497,4975,809,1826,208,2069,94,1958,521,-,140958,1007,6,4068,14642,2003,-,4747,2330,-,4768,2121,1416,1268,434,35886,223,1400,1246,23,-,528,2057,13838,7265,-,1795,195,3507,1378,82,12631,21620,4612,5208,19271,616,2,1805,24207,514,1998,5019,23483,83612,11751,1572,36180,4115,2155,1765,508,665,-,556,16207,918,-,6335,885,-,14076,-,2115,7143,5,91,26,756,329,127,362,999,229,13517,288,293,-,8170,570,1164,1741,-,675,4453,1137,6399,9408,2278,121691,1849,564,1,2172,1281,2108,0,778,36,10,-,11,517,60,28,2426,2831,-,224,1455,1029,-,-,237,1872400,1737,247,41620,1878,217,-,1422,-,5321,908,27,-,-,27,370,-,21,18032,228,-,-,12,-,7110,100,-,-,-,18,390,35,417,-,-,1,5791,-,-,-,-,-,268841,-,0,-,12342,2995,19,-,142,4631,10,-,14566,6,-,-,44,3063,54642,-,-,-,-,1201,-,31353,4,6101,-,409408,24,-,433246,-,150,496290,-,-,4279,32762,7158,3193,-,-
