시점,계,계,경기도,경기도,강원도,강원도,충청남도,충청남도,전라북도,전라북도,전라남도,전라남도,경상북도,경상북도,경상남도,경상남도,제주도,제주도
시점,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어
1994.12,155406,27894,2887,-,11429,24,3437,5,7160,61,22494,997,11522,268,29526,1376,2778,96
1995.01,113464,12318,1506,-,6728,1,2580,5,4258,36,14976,175,6669,53,26884,1150,1704,46
1995.02,86486,15168,771,-,5863,1,1809,6,2662,60,10266,422,5351,14,23419,449,1465,96
1995.03,111181,9333,891,-,4982,0,3602,4,3915,44,19424,858,6444,15,29761,505,2651,34
1995.04,100896,13529,1109,-,4980,-,4561,2,4258,14,15112,607,7451,4,17160,971,6495,175
1995.05,110437,8320,1177,-,6021,-,6051,-,6361,0,24856,120,7838,31,17846,1327,8878,172
1995.06,96154,11253,1590,-,5537,0,6256,-,6749,0,17642,197,7401,17,13008,553,6452,57
1995.07,72249,9891,990,-,3657,2,2230,0,6280,1,14633,74,6558,35,13971,678,2667,208
1995.08,73506,11090,961,-,3499,336,1428,0,6148,0,14005,272,6062,1135,17365,1654,2760,199
1995.09,134718,15271,911,-,11309,614,2561,1,5759,13,22144,1101,23801,1278,24021,2800,4226,667
1995.1,190269,25108,1185,-,11612,2029,4913,8,7246,68,32520,1475,29469,4080,30620,2274,5851,489
1995.11,172975,29261,1629,-,8783,1640,3298,1,4929,126,26645,1605,19531,5031,37041,2345,8146,188
1995.12,162878,39939,1082,-,9585,360,3365,1,4657,92,22443,4011,15321,651,32259,3222,3904,284
1996.01,146024,58214,928,-,5096,38,2684,9,3711,84,21911,4399,8092,224,28960,3946,1775,396
1996.02,67847,17997,1300,-,4485,0,1692,1,1681,29,7533,970,3405,24,12304,1724,1434,68
1996.03,103317,32881,697,-,6362,-,1883,0,2264,13,11403,1487,4358,0,19267,2258,7245,139
1996.04,129358,56418,523,-,6297,-,3951,-,4069,0,17217,3852,7530,-,18591,5800,4810,220
1996.05,105119,27126,600,-,6727,0,7098,-,6221,0,18978,1825,6888,4,13302,1628,2608,214
1996.06,89749,12437,728,-,7336,0,4253,-,3966,-,14250,368,6147,6,12066,1202,6962,151
1996.07,123785,18658,901,-,4796,0,2590,-,3024,0,44294,893,6325,2,30682,1538,3383,404
1996.08,114851,28906,789,-,4444,0,2073,1,5153,4,29638,1847,5675,11,28397,3155,2392,420
1996.09,151286,47709,1042,-,11049,10,4309,5,5719,38,23973,2506,14297,439,23419,4098,3524,333
1996.1,191697,28327,1400,-,9773,30,3662,1,5821,43,27001,1648,25608,267,30426,2609,6688,178
1996.11,184543,35294,1575,-,12847,37,4761,5,5438,39,24564,1442,25156,363,27737,3122,2447,206
1996.12,216246,51036,2774,-,12826,6,2566,6,5517,53,28933,3007,19262,224,36815,3167,6924,487
1997.01,135412,20427,1389,-,5632,1,2125,2,4657,25,19882,607,8287,11,32383,1280,1619,161
1997.02,51187,3609,1780,-,4591,1,1526,-,2109,9,4665,49,5116,1,11716,78,2192,54
1997.03,92785,2633,477,-,4554,0,2187,-,4135,0,15644,22,7706,23,24358,58,4504,12
1997.04,80133,2108,447,-,5789,0,3117,-,4133,0,15401,3,10017,4,14200,106,2305,18
1997.05,73224,510,511,-,7940,0,4748,-,6055,0,13774,1,7445,12,12148,33,2381,11
1997.06,102643,14955,435,-,12769,0,6011,0,3122,-,18416,164,12844,8,11725,202,6302,173
1997.07,100022,12307,693,-,7357,2,2174,-,2808,1,25537,124,7895,20,27452,698,2093,58
1997.08,106027,13323,586,-,7720,31,1927,1,3993,1,25481,312,11331,777,29315,1259,2198,403
1997.09,142960,15292,982,-,17532,19,3695,0,4829,5,24893,300,25994,1143,24220,1306,4877,354
1997.1,185148,23668,852,-,11229,99,7578,20,7017,20,28844,460,23521,642,32013,2145,3950,259
1997.11,131594,18568,938,-,6880,22,5286,2,5100,51,20476,479,10761,115,21684,852,7751,178
1997.12,166271,33048,1752,-,9364,2,2942,3,4330,14,20277,1551,12218,8,35451,2415,2943,186
1998.01,101891,16867,533,-,2052,-,2715,5,2899,21,13561,166,5828,0,22887,990,1425,161
1998.02,57450,8729,194,-,3785,0,3138,0,832,1,6270,40,7022,3,9610,183,5167,142
1998.03,81261,5924,629,-,4856,0,7518,-,2232,4,9721,35,8918,9,15406,241,2994,191
1998.04,81950,6633,675,-,5280,0,4599,-,2281,0,10022,9,15346,9,11468,155,2647,116
1998.05,81930,6919,1214,-,5585,0,6106,0,3757,0,11151,55,9387,1,13264,55,3216,242
1998.06,88049,18643,874,-,5151,0,11172,-,3492,0,16301,204,6489,0,9266,180,3076,263
1998.07,113076,14675,933,-,3652,0,12127,-,3166,-,19312,203,5854,26,34258,391,2568,271
1998.08,93357,11511,1051,-,4771,7,2637,0,3223,3,19286,883,7155,188,23302,997,5463,1271
1998.09,145955,18876,1109,-,12964,72,5580,0,6216,2,23416,774,19020,99,27351,1864,5749,847
1998.1,125388,10021,1564,-,6294,57,10080,18,6385,35,18400,980,15980,53,22402,469,4079,816
1998.11,144677,9131,1798,-,5713,79,7929,7,5887,27,29048,923,18809,110,23507,445,4897,569
1998.12,193352,44996,1366,-,7884,22,6084,1,8765,9,23296,518,15310,0,34630,1775,7151,1116
1999.01,140544,33248,1579,-,3291,0,1870,-,5107,1,19087,113,11128,0,27925,2251,1869,353
1999.02,72096,6119,1105,-,3211,-,1636,1,2969,3,8134,126,8636,-,14797,115,1346,216
1999.03,86784,4778,1285,-,3181,-,4804,1,2339,3,11706,117,6619,-,23258,591,1710,130
1999.04,68678,3363,1419,-,3788,0,5960,-,3046,0,12072,52,6193,-,11237,103,2055,74
1999.05,76016,3950,1150,-,4323,0,4855,-,4910,3,18891,18,6689,6,12584,79,2145,142
1999.06,76176,6107,1292,-,4807,0,5613,-,4059,6,17786,1,5241,19,10152,71,8755,122
1999.07,90500,9124,1558,-,3775,4,2706,0,4075,6,20036,138,6104,74,28193,374,2278,331
1999.08,101198,9816,1293,-,4784,19,4425,0,4859,20,24746,244,9776,552,23559,995,3834,1333
1999.09,115474,12869,1756,-,9039,28,4982,0,4351,7,18157,488,17528,804,17544,1108,3913,751
1999.1,196376,19940,1622,-,9446,47,7678,2,5841,15,23602,1121,35084,303,25256,2203,5644,271
1999.11,144707,17150,1538,-,7346,47,5185,1,4514,4,16547,196,22491,162,20305,2152,6071,174
1999.12,167513,51076,1082,-,7397,6,5292,3,4969,18,15591,1952,19646,99,18742,5357,3585,567
2000.01,111347,20368,1423,-,4673,1,2351,1,3132,25,13025,368,9537,0,24803,2049,2022,164
2000.02,67177,9847,878,-,2163,0,1239,-,1905,1,7238,63,8408,0,12771,648,1629,153
2000.03,82872,12331,1100,-,2825,1,6098,0,2808,1,9760,94,4238,0,24229,965,3226,604
2000.04,64475,9521,1005,-,3030,1,11026,-,1916,-,7260,42,5958,0,8719,675,2052,250
2000.05,64535,4078,1244,-,6555,1,5293,-,1929,-,8887,5,10105,0,9573,109,2648,127
2000.06,73456,6269,1522,-,4521,0,10291,-,3932,-,14000,37,8117,0,9154,117,2559,282
2000.07,59801,6814,1653,-,3027,4,3497,0,2793,2,13451,877,5391,196,13986,1082,3683,310
