시점,계,계,경기도,경기도,강원도,강원도,충청남도,충청남도,전라북도,전라북도,전라남도,전라남도,경상북도,경상북도,경상남도,경상남도,제주도,제주도
시점,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어,연근해어업,고등어
2011.03,73391,5348,179,-,2297,0,2762,0,1756,1,11158,84,7040,3,26603,110,3866,52
2011.04,50876,3538,178,-,2154,-,5074,-,2043,2,9307,77,7963,1,10458,30,2644,54
2011.05,63236,1046,447,-,3141,0,10378,0,1743,0,11537,1,8306,3,11179,3,5694,202
2011.06,68462,1982,529,-,3957,1,6312,0,2324,4,15625,0,9594,20,9971,188,7093,174
2011.07,61850,2721,320,-,2403,6,5762,0,2283,7,13407,1,4185,19,18783,157,3464,235
2011.08,85278,9984,393,-,2099,28,10486,0,3104,0,15156,33,3472,178,25467,445,4296,340
2011.09,128493,21272,504,-,4907,127,11926,0,3754,72,20051,278,7707,574,24033,1848,12228,1763
2011.1,195334,42917,587,-,8866,244,11469,6,3823,83,25525,375,28281,257,29304,3698,11985,1571
2011.11,163512,13342,358,-,5430,135,7718,3,3343,4,22894,110,18779,223,25170,1393,6958,305
2011.12,176906,23253,359,-,5893,17,4040,0,2982,3,18531,284,23808,51,29102,3583,5095,256
2012.01,141948,25099,433,-,4058,6,2792,1,2117,2,12254,281,17775,43,35557,817,5804,284
2012.02,74017,5117,262,-,3475,1,1808,-,811,2,6989,69,7048,12,21802,20,4278,35
2012.03,67464,3702,153,-,2766,0,2571,-,1166,1,8123,77,7593,2,19268,28,2923,122
2012.04,45279,954,172,-,2323,0,3962,-,1762,0,7193,13,9892,46,8600,30,3001,374
2012.05,64838,2272,389,-,2580,19,7673,0,1375,-,10965,4,8994,31,11666,89,6599,350
2012.06,52572,3019,346,-,3943,5,6496,0,1218,0,10428,40,6305,18,7277,26,5094,263
2012.07,60082,8136,299,-,2215,1,3881,0,997,1,10614,6,3474,9,19517,219,4582,469
2012.08,45855,9080,265,-,1455,2,4163,-,846,10,6318,7,3075,151,11719,367,3904,271
2012.09,94911,10939,438,-,4478,48,11446,16,2035,172,14673,179,9773,194,19878,924,7689,514
2012.1,170127,15980,408,-,5906,309,12053,14,2372,36,25469,131,32579,824,27872,701,5130,297
2012.11,124629,14200,432,-,6104,83,7818,2,2542,152,19446,144,16836,258,25623,624,6510,368
2012.12,149313,26646,262,-,6825,8,5337,1,1699,2,16666,189,17911,43,32538,1277,3809,191
2013.01,106290,18170,161,-,3848,1,2657,2,645,2,8421,118,10619,3,28194,675,6145,457
2013.02,51022,1671,154,-,3482,0,790,-,362,1,4747,80,6138,9,19293,96,4545,146
2013.03,54717,2076,100,-,3445,0,1586,-,509,0,7485,30,6430,2,18806,44,3093,161
2013.04,48184,1042,195,-,2931,0,3251,-,620,-,8740,5,8138,5,11509,62,2431,58
2013.05,55242,460,470,-,3403,11,8061,0,1655,0,10200,2,9238,34,10091,8,3373,218
2013.06,52688,2149,433,-,4852,8,6039,0,1677,-,11134,2,8949,23,7395,47,3219,348
2013.07,66459,4976,140,-,2384,4,7463,1,2165,0,11505,3,4017,8,21343,380,4345,477
2013.08,69129,10682,294,-,1896,7,6289,2,1803,5,11941,16,3288,27,17150,505,5758,871
2013.09,108483,16515,580,-,5183,68,10737,1,2299,240,14472,39,9725,472,21532,1561,8570,486
2013.1,137241,7786,291,-,8817,131,10653,4,2117,45,21364,98,20609,293,27162,384,7122,303
2013.11,128741,14078,323,-,6327,175,8571,7,2203,13,20782,148,20252,73,20500,813,7317,235
2013.12,166502,22510,253,-,6623,14,5527,2,1520,3,14779,193,23469,187,36338,795,5208,299
2014.01,110148,6479,219,-,4501,0,3726,0,907,2,9618,66,15550,10,32156,580,3603,157
2014.02,46533,3783,93,-,2807,0,1630,-,2064,0,4044,37,4743,18,15998,93,1815,70
2014.03,58753,3057,161,-,3705,0,2395,-,750,0,6645,48,7464,73,20078,250,3299,64
2014.04,52160,1649,395,-,3586,0,4818,-,1542,0,7526,16,8165,31,12790,2,2587,72
2014.05,54765,707,338,-,2695,5,8077,0,2260,-,9777,1,7096,78,10334,12,3753,199
2014.06,53447,1121,333,-,4624,13,6063,1,1951,-,10878,0,5667,15,8196,6,4792,261
2014.07,64652,4975,470,-,2096,3,4931,0,1232,-,13551,0,3848,24,21320,202,4440,589
2014.08,78197,16920,559,-,1737,21,12603,1,2235,146,14733,31,3162,215,15101,1076,5532,992
2014.09,111767,14830,537,-,4882,487,16024,2,3736,107,15267,183,10681,1217,21492,561,5839,662
2014.1,138943,12313,347,-,5367,321,10658,3,2585,45,18633,222,22564,349,28513,482,4664,581
2014.11,131567,29140,367,-,5465,212,10776,7,1912,159,16663,424,17832,136,21675,1573,6747,431
2014.12,157667,32475,351,-,6104,53,6149,1,1341,2,12073,617,19887,130,31451,2588,4616,617
2015.01,113943,15605,416,-,4570,7,4835,0,1680,5,9695,436,12351,5,37914,1405,3434,537
2015.02,60411,7197,315,-,3069,8,2269,0,528,0,6176,83,5956,50,19172,361,3010,139
2015.03,82767,14572,116,-,3422,0,2210,-,669,0,7532,34,7136,2,24826,981,3185,78
2015.04,59274,10416,188,-,3207,0,4172,-,1245,-,6097,18,7905,9,9798,318,2998,162
2015.05,47797,348,213,-,2770,2,8656,0,2175,2,8282,1,6427,96,9717,3,1989,217
2015.06,65964,3803,363,-,2858,11,5913,2,2178,3,11478,6,6670,46,10484,268,3292,215
2015.07,59487,6842,609,-,1833,11,2818,0,1429,0,10404,10,3622,10,18632,415,3373,822
2015.08,83825,17472,383,-,1473,7,7859,2,3209,98,10179,57,3153,176,22192,1149,7816,3109
2015.09,107515,12325,586,-,5517,32,11427,2,2931,139,16203,123,10091,54,21156,673,7826,1232
2015.1,121280,13684,326,-,7265,72,8346,7,2116,296,19584,203,17377,16,29711,291,5381,605
2015.11,115016,15341,381,-,5405,88,6840,3,1982,152,13923,198,18181,76,23972,988,6171,1079
2015.12,141041,14130,402,-,7458,18,6285,0,832,1,14571,85,20897,20,20036,202,4738,204
2016.01,107098,15198,237,-,4443,1,3332,0,1578,1,8928,11,11857,7,26164,493,3324,214
2016.02,44027,2244,189,-,5067,1,1817,-,807,-,3406,11,5295,21,9404,39,3032,106
2016.03,47941,3450,253,-,4945,0,1852,-,1366,-,5929,13,5448,8,12670,145,2503,178
2016.04,47794,5550,269,-,4500,0,3762,0,1976,0,6926,25,7492,9,6927,470,2265,158
2016.05,52547,2247,627,-,3611,10,7856,0,2010,0,8536,4,8079,32,8956,45,3319,800
2016.06,55202,2046,343,-,4223,25,9177,1,2147,0,7405,3,5785,29,9756,27,3898,197
2016.07,53978,5633,433,-,2236,2,2246,0,1681,0,8752,11,3915,18,18937,452,4310,739
2016.08,76914,13531,378,-,1644,54,5788,1,1661,208,12149,186,5496,387,21481,888,7906,1351
2016.09,81608,19168,318,-,2922,67,7739,4,2197,353,12608,97,7530,61,12154,1329,5825,1519
2016.1,101877,19837,338,-,6547,77,8558,1,2293,328,14512,419,11721,30,16000,1694,4892,1455
2016.11,116660,28583,278,-,6996,74,6596,0,1227,-,13487,54,15711,47,12946,1407,6649,1332
2016.12,121932,15713,301,-,5855,11,3995,0,1833,0,14417,104,20468,24,15226,489,5244,585
2017.01,91033,9187,306,-,3483,4,2847,1,906,0,11967,108,13539,78,25810,483,2819,147
2017.02,43808,2477,44,-,3316,1,1091,-,221,-,4672,8,7458,13,14514,23,1452,69
2017.03,53849,1716,174,-,3579,2,1873,-,804,-,6479,10,8306,32,20686,70,2922,47
2017.04,41645,218,251,-,3622,1,3769,-,1370,-,6758,4,8604,11,8007,2,2404,21
2017.05,52526,825,202,-,2978,5,6879,0,1637,-,9973,9,7534,32,9542,12,3708,225
2017.06,60422,2161,270,-,3543,13,9003,1,1931,0,9832,27,7586,23,9107,36,6266,293
2017.07,76088,7919,304,-,2308,5,4738,1,1837,0,12818,111,5155,22,25395,1276,9834,512
2017.08,93325,14617,471,-,1642,19,10671,1,1974,41,13136,99,3538,382,26029,1565,10078,665
2017.09,117555,11944,1398,1,3916,49,22772,2,4192,106,17164,72,6979,303,24396,2503,8673,384
2017.1,79595,6076,340,1,5333,8,11665,2,2232,302,13679,122,9573,43,12975,823,3812,160
2017.11,97115,11425,279,-,4031,51,9088,2,1864,3,15874,218,13766,21,16800,2656,6148,312
2017.12,119980,35306,167,-,3712,10,9626,2,1152,4,11347,262,14417,107,25837,3368,6081,883
2018.01,101177,15093,87,-,3534,2,3641,1,1084,0,13458,74,7063,24,30065,639,3722,80
2018.02,47559,2936,60,-,2425,1,1627,0,934,0,9178,17,4028,4,14504,577,2253,58
2018.03,54259,11525,90,-,2234,1,2226,-,499,-,8229,33,6143,8,11066,1172,3227,434
2018.04,46068,3371,296,-,3475,0,3631,0,999,0,9514,60,8847,1,6607,450,2389,90
2018.05,51358,278,420,-,3559,6,10435,1,2598,0,11087,18,6393,22,7259,24,2844,204
2018.06,54402,866,497,-,4034,11,9458,1,2879,0,10233,18,6793,49,6638,135,6826,552
2018.07,80814,11297,570,-,3335,627,2437,1,1924,1,11703,13,4519,1025,27744,942,5814,714
2018.08,79770,17162,520,-,3672,1633,7274,1,1542,0,8597,141,5789,2331,20538,1112,7546,1224
2018.09,136856,29183,660,-,4950,1904,17079,3,2934,107,18050,195,9643,4160,26614,2102,9651,1932
2018.1,129807,17432,670,-,5535,219,14934,4,2976,106,21399,162,13193,337,21469,1004,7609,367
2018.11,127994,21054,416,-,5581,443,8367,7,2760,166,19438,112,9127,199,21343,727,7685,423
2018.12,101472,11332,147,-,4682,346,5294,0,1766,16,15514,60,8441,120,24535,896,5331,332
2019.01,123543,16326,112,-,4075,22,3700,0,1281,1,16215,77,10409,2,36319,455,4739,425
2019.02,52322,1860,54,-,2707,2,1405,0,820,-,7327,66,6102,0,17142,41,1688,59
2019.03,48150,1795,271,-,2443,5,2046,0,1103,1,6728,48,6820,0,13540,55,2895,75
2019.04,46807,1028,408,-,3355,5,3108,0,1336,-,9168,95,7860,8,8183,82,2252,74
2019.05,55181,574,461,-,3443,7,7599,-,2714,-,12368,4,6561,55,9642,53,3968,376
2019.06,57828,696,573,-,3202,5,13930,2,2372,0,9765,5,6076,12,7245,59,7659,553
2019.07,65115,2084,471,-,3561,304,3521,78,2817,13,13448,16,4293,78,17925,231,7394,154
2019.08,79572,7552,344,-,3425,860,11017,62,2791,4,11219,168,5781,1082,19893,224,6371,177
2019.09,77127,8130,517,-,4286,1300,14153,54,2704,130,13374,229,6972,757,14093,901,4400,51
2019.1,91303,9167,481,-,5099,274,14176,54,2505,200,19917,43,7012,57,13502,943,7895,138
2019.11,87133,12331,315,-,5693,248,7796,10,2342,455,17858,31,8455,61,12356,530,7271,88
2019.12,127770,39577,154,-,5900,319,6011,7,1778,40,19074,1284,10972,235,20433,3101,7330,815
2020.01,86546,5801,208,-,2923,165,2493,5,994,0,13689,632,7135,102,26528,1061,3812,248
2020.02,59048,10046,128,-,2086,14,1629,0,490,-,7081,446,5947,8,20067,1051,2103,174
2020.03,53956,3726,236,-,2226,100,2791,-,828,0,7474,150,5448,26,17264,250,2887,133
2020.04,46319,554,232,-,2331,11,3775,0,1351,0,9713,47,9094,2,9733,25,3011,45
2020.05,61207,519,662,-,3425,58,12430,1,3038,0,10910,34,7173,20,9060,81,6164,183
2020.06,63068,1419,379,-,5018,51,10124,28,3137,4,12709,153,7191,28,8493,267,6996,647
2020.07,78436,7320,310,-,2731,20,2892,176,3231,63,12042,151,4711,7,28642,746,7967,549
2020.08,68046,5400,410,-,1708,37,8261,76,2198,72,9281,121,3786,4,19513,201,6919,299
2020.09,93003,7513,590,-,2807,20,14413,64,2775,22,18634,217,5282,16,18492,177,7823,296
2020.1,111077,9132,554,-,3659,64,13507,16,2284,26,24595,212,9592,124,18589,293,7393,100
2020.11,107099,14165,360,-,4707,234,6840,9,2094,160,22945,166,9040,67,19783,239,11098,181
2020.12,106075,12007,365,-,5927,344,4543,15,2112,452,19197,148,11166,138,19369,515,7698,322
2021.01,72642,11482,281,-,4010,18,2000,3,1439,2,11647,240,7505,2,17110,151,3622,201
2021.02,53257,7209,295,-,1880,13,1222,-,1437,-,7664,309,4230,0,15824,219,2852,127
2021.03,64572,5861,152,-,2948,28,2929,0,1366,0,9872,431,6161,2,21484,954,3555,127
2021.04,57282,2786,424,-,3891,144,5410,0,2141,0,10761,67,8357,5,11146,102,2630,70
2021.05,60003,329,437,-,3687,15,16325,0,2761,-,11393,11,5458,2,8528,64,3331,146
2021.06,58609,1084,363,-,4241,31,8303,2,2126,7,14089,93,6181,5,8641,336,6404,414
2021.07,75282,3681,424,-,3660,22,3052,35,1724,20,9207,73,5052,21,29279,516,6773,343
2021.08,76293,7868,446,-,2115,115,4866,24,2799,123,11497,175,3516,178,23373,849,7458,534
2021.09,98738,16626,752,-,3433,39,9119,5,3192,134,16844,974,10713,40,12325,1410,7215,365
2021.1,121605,15006,442,-,4813,131,7451,5,2347,53,21544,417,18034,85,17012,1915,8147,818
2021.11,96959,18915,398,-,4768,114,4824,16,2213,85,20389,609,8236,13,11146,1579,9483,195
2021.12,107633,31322,408,-,5061,133,3884,2,1583,13,18004,1494,8613,70,16615,2518,7138,341
2022.01,86988,15357,178,-,3311,55,2016,0,1397,0,14728,570,5803,36,22963,728,5342,507
2022.02,46043,2914,82,-,2193,77,794,0,314,-,6784,220,4619,33,19167,211,1826,156
2022.03,58536,4288,187,-,2990,18,1838,0,775,0,8667,111,6187,148,19906,257,2855,160
2022.04,54109,494,403,-,4285,12,4274,-,1157,1,11768,58,10937,52,9284,85,2410,132
2022.05,72592,978,704,-,3756,93,19955,0,1935,0,15522,22,11842,143,6450,76,3242,384
2022.06,54636,1543,522,-,3883,107,7263,18,1759,0,14739,72,8289,284,6214,168,4225,298
2022.07,53912,6870,705,-,4323,1474,2584,68,1508,10,10208,54,8671,1655,11924,843,4752,239
2022.08,79076,9079,749,-,6209,2408,6545,55,2199,4,12495,85,6817,635,18198,958,6841,625
2022.09,80515,8892,480,-,4118,150,13357,17,2199,29,11534,234,7991,785,12230,1405,3826,554
2022.1,95149,8611,388,-,4231,105,11723,6,2347,1,17738,159,11242,379,13516,1523,6564,694
2022.11,118281,29771,315,-,5469,623,5304,11,2585,0,21195,1134,8718,189,17606,1352,8617,944
2022.12,88856,22098,153,-,7344,3001,1874,10,798,0,10988,159,7956,474,20918,820,4281,183
2023.01 p),89630,23124,70,-,3988,1008,1664,4,751,0,13360,562,5906,1089,23058,367,4509,552
2023.02 p),58665,2236,88,-,2375,4,1303,-,722,-,11281,132,5208,43,17535,278,2892,208
2023.03 p),79174,10321,184,-,2748,16,2729,0,970,-,12043,496,11747,36,18580,433,3062,194
2023.04 p),60823,7785,332,-,2525,169,7502,0,1224,-,10382,26,11533,130,8946,463,2184,192
2023.05 p),61205,1836,448,-,3054,49,11961,1,3059,0,12359,74,7379,70,10161,328,3182,368
2023.06 p),58249,4294,588,-,3204,234,7257,4,2315,4,12843,204,8595,1242,10683,786,3931,156
2023.07 p),73979,12012,375,-,2212,157,4389,70,1361,51,14924,94,5035,304,20574,1408,5178,280
2023.08 p),80699,8203,728,-,1969,338,9367,44,3150,37,11193,541,3896,399,18171,633,5464,357
2023.09 p),103168,13331,1167,-,3188,158,16409,136,3924,176,15365,867,7730,89,15823,1469,7467,400
2023.10 p),111514,12649,730,-,4523,101,12626,28,3082,37,18319,967,13729,297,19887,882,5065,303
2023.11 p),104497,15703,778,-,4820,664,6297,52,1408,6,15628,1260,7848,304,24399,832,6709,477
2023.12 p),74351,8593,261,-,4218,585,4924,17,1178,2,12471,144,6361,535,16258,115,5175,261
2024.01 p),85268,8486,404,-,2699,32,3599,1,1004,2,14565,407,6225,428,26316,385,4055,265
2024.02 p),49974,9061,357,-,1985,4,1336,0,707,1,7230,178,4722,40,10495,334,2527,136
2024.03 p),59595,3605,297,-,2715,1,3008,1,824,0,9289,131,8519,61,16585,302,2371,178
2024.04 p),67377,8593,384,-,2549,2,7145,1,2208,-,10464,162,11673,6,9140,382,3619,133
2024.05 p),57823,1523,498,-,2804,30,12956,2,2704,0,10375,45,9715,328,8314,268,2484,194
