시점,연근해어업,갈치,고등어,망치고등어,꽁치,노가리,멸치,명태,방어류,병어류,삼치류,전갱이류,정어리,쥐치류,청어,살오징어(오징어)
1998.08,93357,14239,11511,-,5,-,25755,270,96,575,339,1939,1343,282,64,11789
1998.09,145955,17271,18876,-,0,-,27686,510,381,1796,609,1690,736,455,230,31797
1998.10,125388,7333,10021,-,3,-,25886,43,1038,978,2130,477,82,529,1154,35192
1998.11,144677,10206,9131,-,58,-,23398,82,3650,1649,5013,1670,74,526,1860,24440
1998.12,193352,6122,44996,-,426,-,35440,92,3329,1687,8031,687,350,276,1225,28252
1999.01,140544,3510,33248,-,809,-,25941,32,474,1570,4651,506,6848,944,2843,11266
1999.02,72096,1340,6119,-,492,-,9171,137,2063,1105,1554,297,1042,325,8125,4094
1999.03,86784,1805,4778,-,534,-,18050,609,381,1712,937,827,4991,104,5697,1779
1999.04,68678,1582,3363,-,1549,-,9932,359,394,1292,831,594,3388,117,424,1528
1999.05,76016,1302,3950,-,4092,-,20614,44,133,1323,404,1246,527,134,528,1154
1999.06,76176,2997,6107,-,2217,-,20648,90,456,2116,87,916,14,47,238,3194
1999.07,90500,8894,9124,-,99,-,36925,65,26,996,52,566,107,52,185,6604
1999.08,101198,6521,9816,-,0,-,36278,40,135,860,200,609,1,105,258,19463
1999.09,115474,7063,12869,-,0,-,20980,12,295,992,846,1034,31,341,224,31493
1999.10,196376,8958,19940,-,29,-,19630,1,1096,788,2053,849,30,331,449,86889
1999.11,144707,11893,17150,-,459,-,12066,2,896,984,3263,4659,76,329,504,41309
1999.12,167513,8569,51076,-,1120,-,8699,1,2278,1497,4624,1449,87,170,535,41218
2000.01,111347,4337,20368,-,2145,-,26331,148,1250,1405,4799,2372,237,802,1814,12325
2000.02,67177,3527,9847,-,1099,-,10579,86,1203,630,963,1478,1141,409,7820,3873
2000.03,82872,3150,12331,-,769,-,22010,246,547,938,1307,2282,30,206,374,1267
2000.04,64475,1415,9521,-,2326,-,7155,149,66,418,490,2027,708,128,1269,1177
2000.05,64535,1881,4078,-,7796,-,8830,40,201,288,351,2645,72,257,192,2608
2000.06,73456,3490,6269,-,3717,-,10761,45,126,760,42,1683,7,38,197,4667
2000.07,59801,6949,6814,-,461,-,15480,12,40,292,28,898,2,25,94,4565
2000.08,77024,11785,13862,-,29,-,14220,7,84,436,358,708,0,57,72,10994
2000.09,100035,12421,12876,-,26,-,14169,5,188,475,1745,972,3,193,144,27630
2000.10,185159,13209,12383,-,14,-,21053,0,335,486,2372,1479,2,228,186,86734
2000.11,150077,11828,20151,-,783,-,25493,11,158,753,6903,1746,1,284,133,28603
2000.12,153042,7058,17408,-,718,-,25111,17,616,957,6283,1220,4,264,1178,41866
2001.01,97783,4992,16903,-,252,-,14788,160,455,731,2590,951,22,277,4139,23082
2001.02,65147,3345,10190,-,231,-,13615,24,500,491,2747,1523,8,110,2088,4165
2001.03,90425,4892,8830,-,485,-,38695,1,362,567,1048,2226,49,66,931,951
2001.04,65779,2299,10879,-,920,-,8352,1,91,498,724,1412,44,49,688,732
2001.05,60831,3238,4532,-,1229,-,12968,4,338,794,314,1320,2,51,158,1846
2001.06,57163,4645,2937,-,744,-,8681,12,287,808,84,2696,0,16,95,4932
2001.07,86968,11211,4481,-,70,-,37225,0,107,237,115,1735,0,13,70,7701
2001.08,107436,13580,16395,-,0,-,36263,0,193,348,728,1039,-,47,78,17334
2001.09,137609,11197,16782,-,0,-,32695,0,311,982,2328,1121,-,91,163,36371
2001.10,181608,5926,28664,-,41,-,36492,2,1055,287,3336,785,2,270,27,66730
2001.11,143658,9466,45126,-,501,-,13746,1,1013,571,4545,1420,0,226,15,20774
2001.12,157692,5107,37998,-,863,-,20407,2,1763,505,6954,1309,2,362,39,40998
2002.01,107773,4668,10773,-,802,-,26158,35,2767,556,3672,1438,-,191,152,29837
2002.02,67306,7540,9127,-,84,-,17785,117,515,411,3118,1555,8,121,525,3735
2002.03,68181,5108,6206,-,314,-,18762,24,297,511,2597,1525,-,74,286,822
2002.04,49212,2714,4497,-,1384,-,5176,1,58,383,890,4450,-,72,398,855
2002.05,55262,1701,1444,-,2634,-,9160,1,224,458,363,4409,-,53,190,2905
2002.06,47856,2309,1742,-,1179,-,4957,0,140,788,161,3825,0,29,82,4074
2002.07,66995,3085,5931,-,311,-,21009,0,92,158,164,2591,-,24,5,10824
2002.08,85035,6686,9828,-,6,-,30561,8,112,319,207,880,0,15,27,14386
2002.09,116220,6644,16422,-,0,-,28136,6,91,594,730,762,-,37,15,30116
2002.10,165803,6763,11738,-,24,-,26058,8,393,525,2021,2441,-,85,1,73734
2002.11,139229,7302,40439,-,263,-,19520,1,247,633,5778,886,0,117,9,26783
2002.12,126940,5652,23604,-,98,-,29033,14,438,855,6255,1275,-,115,251,28585
2003.01,96807,5765,8790,-,59,-,24639,116,493,900,5177,2605,0,245,974,14029
