date,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개),nino3.4 수온 평평균,nino3.4 수온 표준편차
2006 12,1.13087,0.919574,27.707708,27.52882,26.576839,1.219633
2006 11,0.864124,0.885403,27.620417,27.562763,26.75629,1.177667
2006 10,0.661214,0.692858,27.360163,27.409695,26.69895,1.01164
2006 09,0.553236,0.525011,27.248503,27.268192,26.695267,0.834961
2006 08,0.360584,0.302723,27.195911,27.227461,26.835327,0.818931
2006 07,-0.005651,0.151074,27.237967,27.399012,27.243618,0.677102
2006 06,0.098289,0.010909,27.763153,27.594206,27.664865,0.627709
2006 05,-0.059911,-0.081765,27.781496,27.677404,27.841408,0.614643
2006 04,-0.283671,-0.346628,27.487566,27.251019,27.771236,0.657626
2006 03,-0.696302,-0.555658,26.483994,26.650797,27.180296,0.817327
2006 02,-0.687,-0.778333,25.980831,26.002579,26.667831,1.007264
2006 01,-0.951698,-0.821015,25.54291,25.758743,26.494608,1.164648
2005 12,-0.824346,-0.776398,25.752493,25.83285,26.576839,1.219633
2005 11,-0.553148,-0.483417,26.203142,26.193943,26.75629,1.177667
2005 10,-0.072757,-0.249014,26.626192,26.467821,26.69895,1.01164
2005 09,-0.121137,-0.047874,26.574131,26.695307,26.695267,0.834961
2005 08,0.050271,0.001306,26.885599,26.926044,26.835327,0.818931
2005 07,0.074784,0.111251,27.318401,27.359188,27.243618,0.677102
2005 06,0.208697,0.170023,27.873562,27.753321,27.664865,0.627709
2005 05,0.226589,0.189808,28.067997,27.948977,27.841408,0.614643
2005 04,0.134136,0.208164,27.905373,27.805811,27.771236,0.657626
2005 03,0.263766,0.20754,27.444061,27.413994,27.180296,0.817327
2005 02,0.224717,0.3661,26.892548,27.147011,26.667831,1.007264
2005 01,0.609818,0.488711,27.104425,27.068472,26.494608,1.164648
2004 12,0.631599,0.608435,27.208439,27.217682,26.576839,1.219633
2004 11,0.583887,0.620065,27.340178,27.297424,26.75629,1.177667
2004 10,0.644709,0.637676,27.343658,27.354511,26.69895,1.01164
2004 09,0.684433,0.659238,27.379702,27.402418,26.695267,0.834961
2004 08,0.648571,0.609142,27.483898,27.533878,26.835327,0.818931
2004 07,0.49442,0.378451,27.738037,27.626389,27.243618,0.677102
2004 06,-0.007639,0.187941,27.657227,27.771238,27.664865,0.627709
2004 05,0.077043,0.006999,27.918451,27.766169,27.841408,0.614643
2004 04,-0.048406,-0.05473,27.722832,27.542915,27.771236,0.657626
2004 03,-0.192827,-0.023928,26.987469,27.182526,27.180296,0.817327
2004 02,0.169449,0.063312,26.837278,26.844223,26.667831,1.007264
2004 01,0.213313,0.243883,26.70792,26.823643,26.494608,1.164648
2003 12,0.348886,0.25889,26.925726,26.868135,26.576839,1.219633
2003 11,0.214471,0.332606,26.970762,27.009966,26.75629,1.177667
2003 10,0.434462,0.284187,27.133411,27.001022,26.69895,1.01164
2003 09,0.203629,0.223514,26.898897,26.966696,26.695267,0.834961
2003 08,0.032451,0.094387,26.867779,27.019125,26.835327,0.818931
2003 07,0.04708,-0.091166,27.290697,27.156771,27.243618,0.677102
2003 06,-0.35303,-0.310078,27.311834,27.273218,27.664865,0.627709
2003 05,-0.624283,-0.375199,27.217125,27.38397,27.841408,0.614643
2003 04,-0.148284,-0.08571,27.622953,27.511936,27.771236,0.657626
2003 03,0.515437,0.343704,27.695732,27.550158,27.180296,0.817327
2003 02,0.663959,0.694301,27.331789,27.475212,26.667831,1.007264
2003 01,0.903506,0.969335,27.398113,27.549095,26.494608,1.164648
2002 12,1.340541,1.169106,27.917381,27.778353,26.576839,1.219633
2002 11,1.263269,1.224205,28.019562,27.901566,26.75629,1.177667
2002 10,1.068805,1.07366,27.767754,27.790497,26.69895,1.01164
2002 09,0.888906,0.887277,27.584173,27.630459,26.695267,0.834961
2002 08,0.70412,0.734433,27.539448,27.65917,26.835327,0.818931
2002 07,0.610272,0.650006,27.853891,27.897943,27.243618,0.677102
2002 06,0.635625,0.486489,28.300489,28.069786,27.664865,0.627709
2002 05,0.21357,0.296268,28.054977,28.055437,27.841408,0.614643
2002 04,0.039607,0.066501,27.810844,27.664146,27.771236,0.657626
2002 03,-0.053675,0.01459,27.126619,27.221045,27.180296,0.817327
2002 02,0.057839,-0.059227,26.72567,26.721684,26.667831,1.007264
2002 01,-0.181843,-0.219785,26.312763,26.359976,26.494608,1.164648
2001 12,-0.535349,-0.401973,26.041491,26.207273,26.576839,1.219633
2001 11,-0.488725,-0.426114,26.267567,26.251245,26.75629,1.177667
2001 10,-0.254267,-0.310966,26.444681,26.405869,26.69895,1.01164
2001 09,-0.189907,-0.17516,26.505362,26.568022,26.695267,0.834961
2001 08,-0.081306,-0.120291,26.754023,26.804447,26.835327,0.818931
2001 07,-0.089659,-0.106609,27.153959,27.141329,27.243618,0.677102
2001 06,-0.148863,-0.234055,27.516003,27.349241,27.664865,0.627709
2001 05,-0.463642,-0.395554,27.377766,27.363617,27.841408,0.614643
2001 04,-0.574156,-0.472834,27.197081,27.124811,27.771236,0.657626
2001 03,-0.380704,-0.508387,26.799591,26.698067,27.180296,0.817327
2001 02,-0.570301,-0.576622,26.097528,26.204288,26.667831,1.007264
2001 01,-0.77886,-0.809373,25.715748,25.770386,26.494608,1.164648
2000 12,-1.078959,-0.92759,25.497881,25.681656,26.576839,1.219633
2000 11,-0.924953,-0.905637,25.831339,25.771723,26.75629,1.177667
2000 10,-0.712998,-0.719165,25.98595,25.997671,26.69895,1.01164
2000 09,-0.519544,-0.571991,26.175722,26.17119,26.695267,0.834961
2000 08,-0.48343,-0.576532,26.351898,26.348206,26.835327,0.818931
2000 07,-0.726621,-0.636045,26.516996,26.611893,27.243618,0.677102
2000 06,-0.698084,-0.80144,26.966782,26.781857,27.664865,0.627709
2000 05,-0.979613,-0.861018,26.861794,26.898151,27.841408,0.614643
2000 04,-0.905356,-1.011747,26.865881,26.585899,27.771236,0.657626
2000 03,-1.150272,-1.203576,26.030024,26.002878,27.180296,0.817327
2000 02,-1.5551,-1.503592,25.112732,25.277319,26.667831,1.007264
2000 01,-1.805405,-1.680582,24.689203,24.899178,26.494608,1.164648
1999 12,-1.681242,-1.719385,24.895597,24.88986,26.576839,1.219633
1999 11,-1.671508,-1.518124,25.084784,25.159237,26.75629,1.177667
1999 10,-1.201621,-1.301287,25.497328,25.415548,26.69895,1.01164
1999 09,-1.030733,-1.159217,25.664534,25.583963,26.695267,0.834961
1999 08,-1.245299,-1.102903,25.590029,25.821835,26.835327,0.818931
1999 07,-1.032676,-1.126384,26.210941,26.121553,27.243618,0.677102
1999 06,-1.101178,-1.02466,26.563686,26.558636,27.664865,0.627709
1999 05,-0.940127,-1.020736,26.901281,26.738434,27.841408,0.614643
1999 04,-1.020903,-0.961478,26.750334,26.636168,27.771236,0.657626
1999 03,-0.923405,-1.026082,26.256889,26.180372,27.180296,0.817327
1999 02,-1.133939,-1.233817,25.533892,25.547094,26.667831,1.007264
1999 01,-1.644106,-1.528713,24.850502,25.051046,26.494608,1.164648
1998 12,-1.808095,-1.614124,24.768744,24.995123,26.576839,1.219633
1998 11,-1.390172,-1.534419,25.366119,25.142941,26.75629,1.177667
1998 10,-1.40499,-1.295993,25.293959,25.420843,26.69895,1.01164
1998 09,-1.092817,-1.26724,25.602451,25.475943,26.695267,0.834961
1998 08,-1.303912,-1.220088,25.531416,25.704651,26.835327,0.818931
1998 07,-1.263535,-1.140085,25.980083,26.107853,27.243618,0.677102
1998 06,-0.852806,-0.55095,26.812057,27.032347,27.664865,0.627709
1998 05,0.463492,0.040589,28.304899,27.799759,27.841408,0.614643
1998 04,0.511082,0.731326,28.282318,28.328974,27.771236,0.657626
1998 03,1.219405,1.175263,28.399698,28.381718,27.180296,0.817327
1998 02,1.795302,1.707387,28.463133,28.488298,26.667831,1.007264
1998 01,2.107455,2.027991,28.602062,28.60775,26.494608,1.164648
1997 12,2.181215,2.160834,28.758055,28.770081,26.576839,1.219633
1997 11,2.193833,2.137552,28.950125,28.814911,26.75629,1.177667
1997 10,2.037607,2.047,28.736555,28.763836,26.69895,1.01164
1997 09,1.909559,1.901328,28.604828,28.644508,26.695267,0.834961
1997 08,1.756818,1.668813,28.592146,28.593552,26.835327,0.818931
1997 07,1.340062,1.321374,28.583681,28.569311,27.243618,0.677102
1997 06,0.867242,0.879027,28.532106,28.462324,27.664865,0.627709
1997 05,0.429777,0.395911,28.271185,28.155081,27.841408,0.614643
1997 04,-0.109285,-0.01188,27.661951,27.585766,27.771236,0.657626
1997 03,-0.356133,-0.281311,26.824162,26.925144,27.180296,0.817327
1997 02,-0.378514,-0.453529,26.289316,26.327381,26.667831,1.007264
