date,nino3.4 index,ONI index,nino3.4 수온 평균,nino3.4 수온 평균(3개),nino3.4 수온 평평균,nino3.4 수온 표준편차
1983 06,0.459156,0.26126,28.124022,27.844557,27.664865,0.627709
1983 05,0.711307,0.635261,28.552713,28.39443,27.841408,0.614643
1983 04,0.73532,0.914678,28.506557,28.512323,27.771236,0.657626
1983 03,1.297407,1.307962,28.477701,28.514416,27.180296,0.817327
1983 02,1.891158,1.804194,28.558989,28.585106,26.667831,1.007264
1983 01,2.224018,2.137283,28.718626,28.717043,26.494608,1.164648
1982 12,2.296673,2.095003,28.873512,28.704248,26.576839,1.219633
1982 11,1.764318,1.9594,28.520609,28.636761,26.75629,1.177667
1982 10,1.817209,1.624779,28.516157,28.341616,26.69895,1.01164
1982 09,1.292811,1.33568,27.988077,28.078861,26.695267,0.834961
1982 08,0.897021,0.820998,27.732349,27.745735,26.835327,0.818931
1982 07,0.273161,0.607854,27.516779,27.855791,27.243618,0.677102
1982 06,0.653379,0.470003,28.318243,28.053301,27.664865,0.627709
1982 05,0.483469,0.382832,28.324877,28.142002,27.841408,0.614643
1982 04,0.011649,0.116397,27.782887,27.714043,27.771236,0.657626
1982 03,-0.145928,-0.115649,27.034367,27.090805,27.180296,0.817327
1982 02,-0.212666,-0.089889,26.455164,26.691023,26.667831,1.007264
1982 01,0.088928,,26.583536,,26.494608,1.164648
